Date,"Daily Page Stories","Daily Total Impressions","Daily Total Reach","Daily Total Consumers","Daily Page Consumptions","Daily Post Engagements","Daily Page Engaged Users","Daily New Likes","Daily Unlikes","Daily New Follows","Daily Total Video Views","Daily Page Stories"
,"Daily: The number of stories created about your Page. (Total Count)","Daily: The number of impressions seen of any content associated with your Page. (Total Count)","Daily: The number of people who have seen any content associated with your Page. (Unique Users)","Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","Daily: The number of times people have engaged with your posts through like, comments and shares and more.","Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users)","Daily: The number of new people who have liked your Page (Total Count)","Daily: The number of Unlikes of your Page (Total Count)","Daily: The number of new people who have followed your Page (Total Count)","Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count)","Daily: The number of stories created about your Page. (Total Count)"
2017-10-08,69,4995,4532,608,1114,1179,624,4,,4,841,69
2017-10-09,21,2869,1599,48,77,96,56,1,,1,67,21
2017-10-10,49,16632,9398,18,39,87,53,1,,1,25,49
2017-10-11,157,34972,17566,96,161,313,192,3,2,5,30,157
2017-10-12,45,17952,8140,47,69,111,68,1,,2,40,45
2017-10-13,42,6179,3678,38,98,138,56,2,1,2,39,42
2017-10-14,9,4124,2115,11,33,40,17,2,,2,20,9
2017-10-15,22,2325,828,17,29,46,28,,,,25,22
2017-10-16,59,2765,1121,20,40,98,59,1,,1,12,59
2017-10-17,15,483,215,14,24,37,22,1,1,1,7,15
2017-10-18,53,1343,430,35,81,132,49,1,,1,38,53
2017-10-19,24,1095,551,44,70,94,56,,,,13,24
2017-10-20,113,3098,1501,117,256,366,147,2,,2,107,113
2017-10-21,76,1839,736,64,143,216,96,2,1,2,58,76
2017-10-22,23,968,395,27,56,77,36,2,,2,13,23
2017-10-23,12,404,195,15,37,49,19,,1,,24,12
2017-10-24,62,1200,588,39,79,138,74,1,1,1,19,62
2017-10-25,25,823,435,15,36,60,35,1,,1,122,25
2017-10-26,22,650,291,23,50,69,33,2,,1,96,22
2017-10-27,24,611,233,31,57,78,39,1,,1,38,24
2017-10-28,20,448,191,15,33,52,29,,2,,27,20
2017-10-29,22,717,264,19,64,86,28,,,,34,22
2017-10-30,42,848,454,20,45,83,47,1,1,1,27,42
2017-10-31,267,3668,2719,44,91,349,272,7,,8,28,267
2017-11-01,681,8849,7685,81,134,801,696,13,1,13,83,681
2017-11-02,619,8135,7541,85,146,754,658,9,3,10,62,619
2017-11-03,158,2540,1442,52,133,277,167,11,2,11,47,158
2017-11-04,140,2001,1297,61,95,226,190,9,2,9,28,140
2017-11-05,86,2621,1637,196,420,502,235,4,1,5,473,86
2017-11-06,385,11656,9777,1331,2273,2594,1558,63,,63,2137,385
2017-11-07,2598,5112,3329,353,621,881,2807,2337,5,2338,368,2598
2017-11-08,1393,12110,3493,119,307,485,1448,1211,15,1211,296,1393
2017-11-09,157,4134,2301,163,320,461,238,15,10,16,334,157
2017-11-10,172,3829,1907,78,176,346,163,2,5,2,252,172
2017-11-11,94,3875,2090,88,142,232,149,4,4,4,365,94
2017-11-12,37,1551,727,62,105,138,76,3,1,3,233,37
2017-11-13,52,2541,1552,59,113,160,85,3,3,3,494,52
2017-11-14,160,3609,2068,77,161,314,186,6,4,7,502,160
2017-11-15,257,3821,2149,54,91,338,263,10,7,10,94,257
2017-11-16,128,3595,1775,62,137,259,134,5,6,5,81,128
2017-11-17,120,2932,1806,54,136,252,135,3,10,3,47,120
2017-11-18,175,2867,2071,52,97,265,199,5,6,5,38,175
2017-11-19,80,1603,1157,28,60,138,101,2,2,2,30,80
2017-11-20,81,2336,1269,39,88,165,100,3,3,3,119,81
