Date,"Daily Reach by Country - AE","Daily Reach by Country - AF","Daily Reach by Country - AM","Daily Reach by Country - AO","Daily Reach by Country - AR","Daily Reach by Country - AT","Daily Reach by Country - AU","Daily Reach by Country - BA","Daily Reach by Country - BD","Daily Reach by Country - BE","Daily Reach by Country - BG","Daily Reach by Country - BH","Daily Reach by Country - BJ","Daily Reach by Country - BN","Daily Reach by Country - BO","Daily Reach by Country - BR","Daily Reach by Country - BT","Daily Reach by Country - BW","Daily Reach by Country - CA","Daily Reach by Country - CD","Daily Reach by Country - CG","Daily Reach by Country - CH","Daily Reach by Country - CI","Daily Reach by Country - CL","Daily Reach by Country - CM","Daily Reach by Country - CN","Daily Reach by Country - CO","Daily Reach by Country - CR","Daily Reach by Country - CY","Daily Reach by Country - CZ","Daily Reach by Country - DE","Daily Reach by Country - DK","Daily Reach by Country - DO","Daily Reach by Country - DZ","Daily Reach by Country - EC","Daily Reach by Country - EE","Daily Reach by Country - EG","Daily Reach by Country - ES","Daily Reach by Country - ET","Daily Reach by Country - FI","Daily Reach by Country - FR","Daily Reach by Country - GB","Daily Reach by Country - GE","Daily Reach by Country - GH","Daily Reach by Country - GM","Daily Reach by Country - GN","Daily Reach by Country - GR","Daily Reach by Country - GT","Daily Reach by Country - HK","Daily Reach by Country - HR","Daily Reach by Country - HT","Daily Reach by Country - HU","Daily Reach by Country - ID","Daily Reach by Country - IE","Daily Reach by Country - IL","Daily Reach by Country - IN","Daily Reach by Country - IQ","Daily Reach by Country - IR","Daily Reach by Country - IT","Daily Reach by Country - JE","Daily Reach by Country - JO","Daily Reach by Country - JP","Daily Reach by Country - KE","Daily Reach by Country - KH","Daily Reach by Country - KR","Daily Reach by Country - KW","Daily Reach by Country - KY","Daily Reach by Country - KZ","Daily Reach by Country - LB","Daily Reach by Country - LK","Daily Reach by Country - LR","Daily Reach by Country - LT","Daily Reach by Country - LV","Daily Reach by Country - LY","Daily Reach by Country - MA","Daily Reach by Country - MC","Daily Reach by Country - ME","Daily Reach by Country - MG","Daily Reach by Country - MK","Daily Reach by Country - ML","Daily Reach by Country - MM","Daily Reach by Country - MO","Daily Reach by Country - MU","Daily Reach by Country - MX","Daily Reach by Country - MY","Daily Reach by Country - MZ","Daily Reach by Country - NE","Daily Reach by Country - NG","Daily Reach by Country - NL","Daily Reach by Country - NO","Daily Reach by Country - NP","Daily Reach by Country - NZ","Daily Reach by Country - OM","Daily Reach by Country - PA","Daily Reach by Country - PE","Daily Reach by Country - PH","Daily Reach by Country - PK","Daily Reach by Country - PL","Daily Reach by Country - PS","Daily Reach by Country - PT","Daily Reach by Country - PY","Daily Reach by Country - QA","Daily Reach by Country - RO","Daily Reach by Country - RS","Daily Reach by Country - RU","Daily Reach by Country - SA","Daily Reach by Country - SD","Daily Reach by Country - SE","Daily Reach by Country - SG","Daily Reach by Country - SI","Daily Reach by Country - SK","Daily Reach by Country - SL","Daily Reach by Country - SN","Daily Reach by Country - SO","Daily Reach by Country - SS","Daily Reach by Country - SV","Daily Reach by Country - SY","Daily Reach by Country - TD","Daily Reach by Country - TH","Daily Reach by Country - TJ","Daily Reach by Country - TL","Daily Reach by Country - TN","Daily Reach by Country - TR","Daily Reach by Country - TT","Daily Reach by Country - TW","Daily Reach by Country - TZ","Daily Reach by Country - UA","Daily Reach by Country - UG","Daily Reach by Country - US","Daily Reach by Country - UY","Daily Reach by Country - UZ","Daily Reach by Country - VE","Daily Reach by Country - VN","Daily Reach by Country - XK","Daily Reach by Country - YE","Daily Reach by Country - ZA","Daily Reach by Country - ZM"
,"Daily: Total Page Reach by user country. (Unique Users)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-10,375,5,,,,,10,,41,2,,10,,,,17,,,7,,,,,,,,,,,,11,10,,11,,,32,8,3,,5,66,,,,,,,,,,,39,,,300,7,2,3,,9,,,,,4,,,16,2,,,,,8,,,,,,,,,7,19,,,8,6,,6,,3,,,12,35,,,,,,16,,,601,,,7,,,,,5,,,,,10,,,11,4,,,2,,,63,,,,,,,7,3
2017-11-11,998,6,,,,3,10,,19,,,8,,,,12,,,12,,,2,,,,,6,,,,7,8,,7,,,57,218,4,,15,97,,,,,4,,,,,,27,,2,308,10,3,8,,10,,,,,4,,,11,,,,,,11,,,,,,,,,3,11,,,4,7,,,,4,,3,7,29,,,,,6,,,,40,,,4,,,,,,,,,,5,,,10,4,,,,,,75,,,,,,,5,
2017-11-12,196,2,,,,,7,,13,,,2,,,,10,,,18,2,,,2,,,3,,,2,,5,4,,,,,43,5,1,,2,52,,3,,,,,,,,,11,,2,143,6,2,6,,8,,3,,,,,,8,,,,,,3,,,,,,,,,,7,,,,4,,,,4,,,7,19,,1,,,2,3,,,21,,,4,,,,,2,,,,,,,,5,3,,2,,,,75,,,,,,,4,
2017-11-13,495,,,,,,7,,9,2,,12,,,,6,,,15,6,,3,,,,2,,,,,15,5,,5,,,61,83,,,275,46,,2,,,,,,,,,5,,4,121,10,2,10,,5,,,,,3,,,9,,,,,,4,,,,,,,,,6,5,,,6,9,,,,5,,,12,11,,,,,3,3,,,17,,,5,,,,,2,,,,,5,,,109,4,,,,,2,73,,,,,,,,
2017-11-14,212,,,,,2,11,,15,3,,27,,,,10,,,9,,,4,,,,,5,,,,18,6,,15,,,37,4,,,675,55,,,,,,,,,,,11,,2,180,18,2,8,,9,,2,,,,,,9,,,,,2,10,,,,,,,,,3,7,,,3,4,,,3,4,,,5,19,,,,,3,3,,,47,,,,,,,,,,,,,4,,,558,5,,2,,,,41,,,,,,,4,
2017-11-15,260,10,,,,,13,,21,,,100,,,,24,,,33,13,,,,,,,4,,,,15,5,,10,,,58,,92,7,9,56,,4,,,,,,,,,38,,,218,50,,4,,10,,12,,,4,,,12,,,,,,7,,,,,,,,,3,44,,,7,5,,4,,7,,,9,61,,,,,13,,,,168,,14,,,,,,12,,,,,4,,,597,6,,,,,3,73,,,,,,,6,
2017-11-16,339,8,,,,,14,,39,,,111,,,,44,,,14,3,,,,,,,3,,,,7,6,,8,,,63,5,30,5,11,38,,,,,,,,,,,48,,,296,28,,,,18,,8,,,6,,,10,3,,,,4,15,,,,,,,,,5,13,,,7,,,6,,5,,,14,66,,,,,20,,,,285,,9,,,,,,12,,,,,4,,,43,7,,,,,4,60,,,,,,,6,
2017-11-17,513,10,,,,,9,,24,,,260,,,,40,2,,10,7,,,,,,,,,,,9,,,8,,,53,2,11,,5,37,,,,,,,,,,,31,,,210,27,,,,16,,3,,,5,,,13,2,,,,3,8,,,,,,2,,,7,17,,,7,2,,6,,6,,,10,50,,,,,12,3,,,227,,,,,,,,7,,,,,5,,,33,7,,,,,2,38,,,,,,,2,
2017-11-18,645,4,,,,,5,,36,,,520,,,,24,,,10,3,,,,,,,,,,,6,3,,8,,,20,3,6,,9,35,,,,,3,,,,,,22,,,182,24,2,,,8,,2,,,5,,,16,2,,,,,,,,,2,,,,,7,5,,,6,3,,7,,2,,,7,21,,,,,15,,,,224,,2,,,,,,4,,,,,,,,21,4,,,,,2,27,,,,2,,,5,
2017-11-19,369,8,,,2,,4,,18,,,123,,,,28,,,10,2,,,,,,,,,,,5,4,,4,,,12,5,,,,23,,,,,,,,,,,13,,,143,16,1,2,,11,,2,,1,,,,13,,,,,,3,,,,,,,,,9,5,,,7,2,,2,,7,,1,8,26,,,,,8,3,,,153,,,,,,,,6,,,,,5,,,18,7,,,2,,,26,,,1,,,,3,
2017-11-20,265,7,,,,,4,,19,,,77,,,,32,,,8,,,,,,,2,3,,,,4,,,12,,,34,3,3,,8,27,,2,,,,,,,,,34,,,219,38,3,2,,9,,4,,2,4,,,5,3,,,,,9,,,,,,,,,10,9,,,8,3,,5,,6,,,2,45,,,,,6,,,,140,,,2,,,,,,,,,,6,,,76,4,,,,,,54,,,,2,,,,
2017-11-21,482,12,,,,,8,,39,,,746,,,,43,,,15,7,,4,,,,,5,,4,,12,,,14,,,53,4,3,,10,71,,5,,,,,,,,,37,,,270,23,,3,,12,,4,,,4,,,11,4,,,,,15,,,,,,,,,11,13,,,6,4,,6,,6,,,5,46,,,,,13,3,,,175,,,,,,,,,,,,,6,,,34,6,,,5,,,61,,,,,,,,
2017-11-22,431,3,,,,,8,,12,2,,1712,,,,10,,,12,,,3,,,,,2,,2,,9,,,16,,,21,3,,,12,80,1,,,,,,,,,,11,,,134,3,2,,,5,2,1,,,2,,,11,,,,,,2,,,,,,,,,4,5,,,6,4,,,,3,,,4,27,,,,,7,,,2,17,,,,,,,,2,,,,10,2,,,4,4,,,,,,65,,,,,,,4,
2017-11-23,372,4,1,,,,6,,27,2,,163,,,,11,,,7,,,5,,,,,,,,,10,,,48,,,39,5,,,9,41,,,,,,,,,,,14,,,114,6,2,,,7,2,,,,3,,,9,,,,,,10,,,,,,,,,4,6,1,,7,3,2,2,,5,,,6,27,,1,,,5,,,,60,,,2,,,,,,,,,3,5,,,13,3,,,,1,,44,,,,,,,,
2017-11-24,291,6,,,,,4,,11,,,31,,,,8,,,7,2,,6,,,,2,,,,,5,,,34,,,27,6,2,,6,41,,2,,,,,,,,,9,,,118,6,2,3,,8,,,,,3,,,8,5,,,,,9,,,,,2,,,,4,7,,,6,3,,5,,2,,,7,15,,1,,,6,,,,76,,,,,,,,4,,,,2,2,,,11,,,,,,,58,,,,,,,,
2017-11-25,67,2,1,,,,2,,3,,,1,,,,6,,,,1,,,,,,,,,,,2,1,,5,,,7,4,,,6,14,,,,,,,,,,,6,1,,61,3,,1,,4,1,,,,1,,,1,,,,,,4,,,,,,1,,,,3,1,,4,2,,,,1,,,2,4,,,,,,1,,1,5,,,1,,,,,,,,,,1,,,2,1,,,,,,18,,,,,,,1,
2017-11-26,149,4,,,,,6,,20,,,7,,,,15,,,5,,,2,,,,,,,,,5,,,9,,,47,4,,,4,38,,,,,,,,,,,15,1,,198,,1,3,,5,2,2,,,,,,4,,,,,,8,,,,,2,,,,3,9,,,6,2,,3,,2,,,6,18,,,,,2,3,,,14,,,1,,,,,2,,,1,,3,,,18,,,1,,,,37,,,,1,,,4,
2017-11-27,206,2,,,,,23,,18,2,,48,,,,9,,,7,1,,,,,,,,,,,3,,,4,,,38,3,2,,5,32,,,,,,1,,,,,9,,,184,5,2,,,4,,,,,1,,,1,2,1,,,,7,,,,,2,,,,5,3,1,,4,2,,,,3,,,3,11,,,,,2,2,,,12,,,,,,,,,,,,,4,,,11,1,1,,,,,32,,,,,,,2,
2017-11-28,755,7,,,,,11,,44,2,,460,,,,18,,,18,3,,,,,,,,,,,10,2,,11,,,64,,,,7,45,,2,,,,,,,,,23,,,311,6,2,2,,12,,,,,2,,,11,3,,,,,11,,,,,3,,,,3,13,,,8,6,,6,,3,,,13,29,,3,,,5,3,,,117,,,,,,,,,,,,,,,,13,4,,,,,2,85,,,,3,,,5,
2017-11-29,892,,,,98,,5,,48,,,116,,,,12,,,9,4,,,,,,,31,,,,9,4,,20,,,34,13,3,,13,51,,,,,,3,,,,,24,,,401,7,,3,,17,,3,,,4,,,6,,,,,,8,,,,,,,,,58,6,,,11,3,,3,,5,,,15,26,,,,,5,,,,25,,,6,,,,,3,,,,,5,,,11,4,,3,,3,,70,,,,,,,,
2017-11-30,873,3,,,95,,5,,43,3,,6,,,,10,,,15,,,,,,,,151,,,,34,,,13,,,29,12,,,5,52,,4,,,,,,,,,21,3,,276,7,,,,10,,2,,,6,,,7,2,,,,,10,,,,,,,,,126,9,,,8,5,,6,,2,,,8,34,,,,,4,,,,27,,,3,,,,,,,,2,,2,,,8,11,,2,,,,89,,,,,,,2,
2017-12-01,332,3,,,,,7,,14,2,,2,,,,7,,,20,4,,,,,,,2,,,,18,,,8,,,15,4,,,4,40,,,,,,,,,,,7,,,157,3,,,,6,,3,,,3,,,4,,,,,,8,,,2,,2,,,,4,9,,,7,4,,5,,5,,,6,25,,,,,2,2,,,19,,2,,,,,,,,,3,,3,,,3,2,,2,,,,52,,,,,,,4,
2017-12-02,317,3,,,201,,5,,16,3,,5,,,,3,,,22,6,,3,,,,,143,,,,11,3,,19,,,31,7,3,,12,40,,,,,,,,,,,8,,,136,8,,2,,14,,2,,,,,,7,2,,,,,8,,,,,,,,,129,6,,,2,3,,,,5,,,3,28,,,,,7,,,,14,,2,2,,,,,,,,,,2,,,7,3,,,,,,51,,,,,,,3,
2017-12-03,1288,,,,,,3,,9,,,,,,,2,,,8,2,,1,,1,,1,4,,,,10,4,,2,,,9,1,1,,19,28,,,,,,,1,,,,2,,,43,2,1,,,5,,,,,,,,4,,,,,,,,,,,,1,,,1,1,,,,1,,,,,,,,2,,,,,2,,,,9,,1,1,,,,1,1,,,1,,,,,,,,,,1,2,29,,,,,,,,
2017-12-04,454,3,,,,,16,,19,,,4,,,,8,,,5,,,4,,,,,4,,,,10,3,,13,,,32,3,,,11,53,,2,,,,,,,,,5,,2,190,7,,2,,19,,6,,,,,,6,3,,,,,6,,,,,,,,,3,22,,,6,3,,2,2,4,,,6,11,,,,1,5,,,,19,,,,,,,,3,,,,,,,,7,4,,,,,2,50,,,,,,,3,
2017-12-05,180,2,,,,,10,,27,2,,6,,,,5,,,15,4,,2,,,,,4,,,,7,2,,14,,,20,4,,,7,74,,,,,,,,,,,10,,,180,8,2,,,10,,,,,,,,9,2,,,,,6,,,,,,,,,,11,,,8,3,,4,2,2,,,2,22,,,,,3,,,,14,,1,,1,,,,,,,2,,,,,4,2,,,1,,2,38,,,,,,,2,
2017-12-06,115,,,,,3,19,15,39,11,,9,,7,,9,,,32,,,4,,,,,4,,,,11,8,,19,,,42,5,,,50,90,,,,,,,,,,,216,,,149,7,,,,10,,4,,,4,,,6,4,,,,,21,,,,,,,,,4,36,,,13,8,,,,4,,,7,44,,,,,8,,5,4,24,,,5,,,,,,,,,5,,,,19,12,,,,,,118,,,,,,,6,
2017-12-07,141,3,,,,,10,17,46,10,,5,,9,,7,,,13,,,8,,,,,,,,,17,3,,11,,,27,5,,,44,71,,,,,,,,,,,101,,,147,8,,3,,24,,3,,,,,,3,8,,,,,21,,3,,,,,,,3,17,,,13,5,4,,,5,,,7,55,,,,,,,4,,27,,,7,,,,,,,,,3,3,,,10,21,,,,,,57,,,,,,,4,
2017-12-08,460,2,,,9,3,15,,25,3,,3,,,,5,,,18,5,,15,,,,,2,,,,7,,,38,,,29,5,,,23,67,,,,,,,,,,,21,,,112,3,,6,,34,,2,,,,,,15,,,,,,9,,,,,,,,,32,9,,,4,4,2,3,2,2,,,7,15,,,,,2,,,,18,,,,,,,,2,,,,4,,,,7,3,,,,,,54,,,,,,,3,
2017-12-09,461,4,,,4,,10,,14,2,,2,,,,2,,,5,6,,4,,,,,2,,2,,7,2,,15,,,17,9,,,14,52,,,,,,,,,,,16,,,104,3,,2,,8,,3,,,,,,6,,,,,,8,,,,,,,,,7,4,,,3,2,,,,4,,,4,22,,,,,2,,,2,8,,,,,,,,,,,1,4,2,,,4,3,,,,,,38,,,,,,,3,
2017-12-10,48,1,,,,1,2,2,5,,,1,1,,,1,,,,1,,3,,,,,,,1,,4,1,,2,,,6,,,,3,13,,,,1,,,,,,,5,,,34,1,2,1,,2,1,,,,,,,,,,,,,1,,,,,,,,,,3,,,2,2,,,,1,,,,7,,,,,,1,,,1,,1,1,,,,,,,,,1,,,,1,,,,,,,5,,,,,,,1,
2017-12-11,74,2,1,,,,3,,13,,,1,1,,,3,,,1,1,,2,,,,,2,,,,3,,,4,,,9,3,,,5,17,,,,,,,,,,,8,1,,65,3,2,,,6,,1,1,,,,,2,,,,,,6,,,,,,,,,2,3,1,,4,2,,1,,3,,,,6,,1,,,2,,,,2,,,,,,,,3,,,1,,,,,4,,,,,,,17,,,1,,,,2,
2017-12-12,116,3,,,,,2,,13,,1,2,2,,,2,,,2,1,,,,,1,,2,,,,6,,,10,,,22,2,1,,7,32,,2,,,,,,,,,3,1,,81,4,2,,,4,1,1,1,,,,,4,,,,,,5,,,,,,,,,3,7,,,3,2,,2,,2,,,4,25,,,,,3,,,,4,,,,,,,,,,,,2,,,,4,,,,,,,24,,,,,,,3,
2017-12-13,111,2,,,,,3,,23,2,1,4,1,,,3,,,1,,,2,,,,1,2,,,,5,,,14,,,8,,,,8,21,,2,,,,,,,,,5,,,74,,1,,,4,,4,,,,,,3,,,,,,6,,,,,,,,,3,4,,,4,,,,,2,,,2,9,,,,,1,1,,1,4,1,,1,,,,1,1,,,,,,,,5,1,,1,,,,21,,,,,,,1,
2017-12-14,137,2,,,,,3,,15,2,,,,,,3,,,17,3,,5,,,,,4,,,,8,,,13,,,28,3,,,4,103,,2,,,,,,,,,5,,,92,9,2,3,,4,,4,,,2,,,9,,,,,,10,,,,,,,,,2,,,,5,3,,,,2,,,2,12,,1,,,3,,,,12,,2,,,,,2,3,2,,,,3,,,3,4,,,,,,41,,,,,2,,,
2017-12-15,94,2,,,133,,3,,15,,,3,1,,,5,,,15,3,,,,,,,215,,,,6,2,,12,,,9,6,,,6,37,,,,,,,,,,,5,4,,67,,,1,,4,,2,,,,,,4,,,,,,6,,,,,1,,,,98,3,,,5,2,,,,2,,,4,9,,,1,,,,,,11,,1,1,,,,,,,,1,,3,,,,4,1,1,,,,36,,,,,,,3,
2017-12-16,67,2,,,203,,2,,5,,,,1,,,1,,,7,2,,2,1,,,,251,,,,3,1,,7,,,3,4,,,1,18,,1,1,1,,1,,,,,4,,,65,1,2,,,2,,1,1,,,,,4,,,,,,4,,,,,,,,,123,2,,,6,1,,2,1,,,,,8,,,,,,,,1,3,,,1,,,,,,,,,,,,,1,,,,,,,12,,,,,,,1,
2017-12-17,55,2,,,2,,3,,8,2,1,1,,,,3,,,3,,,1,,1,,1,,,,,1,,,8,,,9,2,,,6,18,,,,,,,,,,,3,1,,55,1,2,1,,1,1,1,,,,,,,1,,,,,9,,,,,1,,,,8,1,,,2,,,1,,3,,,,2,,,,,,,,1,,,,2,,,,1,1,,,,,,,,2,,,,1,,,14,,,,,,,1,
2017-12-18,153,1,,,,,4,,10,,,2,,,,4,,,4,,,2,,,,,4,,,,3,2,,6,,,19,,,,5,49,,,,,,,,,,,10,,,93,3,2,1,,4,1,,1,,,,,4,,,1,,,8,,,,,,1,,,1,6,,,4,5,,5,,4,,,3,5,,,,,2,2,,1,5,,,1,,,,,3,,,,,2,,,,,,,1,,,31,,,,,,,2,
2017-12-19,298,,,,12,,23,,44,,,181,,,,9,,,5,,,6,,,,,40,,,,32,,,31,,,56,4,,,11,76,,,,,,2,,,,,18,,,285,7,,5,,9,,,,3,123,,15,11,,,,,,14,,,,,,,,,33,8,,,8,7,,6,,5,,,8,39,,3,,,119,4,,,651,,,2,,,,,4,,,,,4,,,13,16,,,,,,60,,,,,,,3,
2017-12-20,857,,,,155,,14,,32,3,,256,,,,9,,,13,,,6,,,,,444,,,,10,,,23,,,32,27,,,34,78,,,,,,,3,,,,11,,2,217,7,2,,,425,9,3,,,3,,,159,,,,,,12,,,,,,,,,307,4,,,4,5,,3,,2,,,,18,,4,,,5,,,,1564,,3,4,,,,,,,,3,,,,,15,5,,,,,,65,,,,,,,2,
2017-12-21,832,1,,,,,12,,14,3,,7,,,,,,,4,,,4,,,,,3,,,,8,2,,11,,,12,2,,,14,46,,,,,,,,,,,6,,,107,,4,,,7,4,1,1,,1,,1,41,,,,,,5,1,,,,,,,,4,4,,,4,2,,,,2,,,1,7,,1,,,8,2,,2,18,,,5,,,,,,,,,,,,,2,2,,,,,,46,,,,,,,3,
2017-12-22,1681,,,,,,5,,12,3,3,150,,,,3,,,16,6,,8,,,,,2,,,,7,,,10,,,14,3,,,24,51,,,,,,,,,,,2,,,128,2,2,4,,8,4,,,,1,,,18,2,,,,,2,,,,,,,,,4,4,,,5,3,,6,,4,,,3,13,,,,,6,,,,17,,,,,,,,,,,3,,3,,,3,3,,2,,,,63,,,,,,,2,
2017-12-23,669,,,,1,,1,,4,1,1,242,,,,3,,,8,2,,1,,,,,,,1,,2,1,,3,,,5,,,,10,28,,,,,,,,,,,1,,,53,,1,2,,3,1,1,,,,,1,14,,,,,,,,,,,,,,1,,2,,,,3,,,1,2,,,,4,,,,,1,,,1,11,,2,2,,,,,1,,,1,,,,,3,,,,1,,,31,,1,,,,,1,
2017-12-24,41,,,,,,2,,1,,1,,,,,,,,2,,,,,,,,1,,,,1,1,,1,,,1,,,,2,14,,,,,,,,,,,,,,13,,1,1,,1,1,1,,,,,,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,1,1,,,,,1,12,,,,,1,,,
2017-12-25,151,1,,,,,5,,10,,,4,,,,5,,,6,,,2,,,,,1,,,,5,,,7,1,,14,2,,,12,21,1,,,,,,,,,1,5,1,1,108,4,1,,,4,1,2,1,1,1,,,7,,,,,,5,,,,,,,,,6,8,,,3,,,,,3,,,1,8,,,,,3,,,,12,,,2,,,,1,,,,,,,,,,,,1,,,,35,,,,,,,2,
2017-12-26,438,,,,,,7,,16,,,1171,,,,5,,,9,,,2,,,,,2,,,,8,,,12,,,27,2,,,16,41,,,,,3,,,,,,15,,,157,4,,2,,3,,2,,2,3,,,7,,,1,,,4,,,,,,,,,5,6,,,5,4,,2,,5,,,2,14,,,,,8,2,,,16,,,3,,,,,,,,,6,1,,,1,4,,,,,,93,,1,,,,,3,
2017-12-27,638,,,,,,12,,34,2,,1874,,,,,,,6,,,2,,,,,3,,,,10,,,9,,,28,6,,,15,176,,,,,,,,,,,11,,,188,6,2,4,,4,,2,,,2,,,11,,,,,,8,,,,,,,,,3,4,,,3,5,,9,,6,,,8,17,,,,,6,2,,,16,3,3,2,,,,,3,2,,,5,,,,4,3,,,,,,112,,,,,,,7,
2017-12-28,585,3,,,,,9,,11,3,,463,,,,4,,,7,,,19,,,,,2,,,,9,2,,12,,,10,5,,,13,108,,,,,3,,,,,,7,2,,161,3,,,,43,2,3,,,,,,17,,,,,,12,2,,,,,,,,,3,,,4,4,,8,,3,,,3,11,,,,,4,,,,14,,,,,,,2,,,,3,2,2,,,5,3,,,,,,63,,,,,,,2,
2017-12-29,659,2,1,,,,7,,19,,,1861,,,,5,,,2,,,7,2,,,,4,,,,9,3,,7,,,145,4,,,9,60,,2,,,,,,,,,10,,,113,4,2,,,13,,,,,,,,4,2,,,1,,5,,,,,,1,,,,2,,,5,5,,2,1,3,,,2,7,,,,,3,,,,9,,,2,,,,,2,,,,,,,,2,2,,1,,,,39,,,,,,,,
2017-12-30,537,,,,,,2,,6,,1,1091,,,,3,,,2,,1,3,,,,1,,,,,1,25,,3,,,277,2,,,4,38,,,,,,,,,,,2,,,44,,1,,,4,,,,1,,,,4,,,,1,,4,1,,,,,,,,,1,,,,2,1,,,,,,3,6,1,,,,,,,1,5,,3,,,,,,,,,,1,1,,,,,,,,,,16,,,,,,,29,
2017-12-31,445,1,,,,,1,,7,,,5,,,,9,,1,,,,2,,,,1,,,,,4,7,,2,,,225,2,,,7,26,1,1,,,,,,,,,1,,,47,4,1,,,3,,1,1,,,,,1,,,,,,4,,,,1,,,,,,1,,,3,4,,1,,1,,,1,3,,,,,,,,,7,,,1,,,,,,,,,,,,,2,2,,,,,,18,,,1,,,,37,
2018-01-01,589,1,1,,,,5,,12,2,,31,,,,7,,,3,,,23,,,,,3,,,,12,5,,13,,,322,4,,,11,39,1,,,,,,,,,,8,,,92,5,2,,,45,,,1,,1,,,6,3,,,,,7,,,,,,,,,4,2,,,5,3,,2,,4,,,1,6,,,,,3,,,,9,,,,,,,,3,,,,,,,,3,12,,,,,,31,,1,,,,,27,
2018-01-02,772,,1,,,,6,,12,,,928,,,,5,,,2,,,7,,,1,,1,,,,8,3,,5,,,306,3,,,7,61,,,,,1,,,,,,4,,,94,3,2,,,8,,,,,2,,,6,2,,,1,,2,,,,,,,,,2,3,,,2,4,,3,,,,,1,23,2,,,,2,1,,,12,,,,,,,,1,,,,,1,,,1,1,,,,,,31,,,,,,,24,
2018-01-03,410,1,,,,,2,,10,3,1,303,,,,5,,,3,,,5,,,,,2,,,,5,,,2,,,259,3,,,7,47,,,,,,,,,,,,,,70,3,,2,,10,1,,1,,,,1,4,,,,45,1,5,,,,,,,,,3,4,,,2,2,3,1,,,,,,7,,,,,2,,,,6,,1,2,,,,,,,,1,,,,,,7,,1,,,,97,,,,1,,,19,
2018-01-04,1358,3,,,,3,5,,25,5,,1773,,,,6,,,,,,4,,,,,4,,,,13,2,,18,,,268,5,,,11,164,,,,,,,,,,,14,,,161,4,,5,,12,,,,,2,,,12,,,,84,,7,,,,,,,,,3,3,,,6,5,,3,,4,,,,14,,,,,7,8,,4,16,3,4,4,,,,,,,,,,,,,13,7,,,,,3,127,,,,,,,31,
2018-01-05,1206,,,,2,,12,,20,2,,1672,,,,4,,,13,,,18,,,,,2,,2,,10,,,10,,,204,6,,,13,172,,,,,2,,,,,,7,,,174,5,2,3,,49,,,,,11,,,8,,,,32,,5,,,,,,,,,4,5,,,6,12,,,2,5,,,3,9,,,,,3,,,3,21,,2,3,,,,,,,,,,,,,6,4,,,,,,87,,,,,,,17,
2018-01-06,365,,,,1,,3,,4,,,293,,,,2,,,2,,,4,,,,,3,,1,,6,1,,7,,,6,2,,1,7,136,,,,,,,,,,,,1,,44,4,,1,,6,,1,1,,4,,,8,,,,14,1,4,,,,,,,,,,,,,,7,,,,5,,2,,3,,,,,3,,,2,7,,,1,,,,,1,1,,,,,,,3,1,,1,,,,35,,,,,,,2,
