Date,"Daily Reach by Country - AE","Daily Reach by Country - AF","Daily Reach by Country - AM","Daily Reach by Country - AO","Daily Reach by Country - AR","Daily Reach by Country - AT","Daily Reach by Country - AU","Daily Reach by Country - BA","Daily Reach by Country - BD","Daily Reach by Country - BE","Daily Reach by Country - BG","Daily Reach by Country - BH","Daily Reach by Country - BJ","Daily Reach by Country - BN","Daily Reach by Country - BO","Daily Reach by Country - BR","Daily Reach by Country - BT","Daily Reach by Country - BW","Daily Reach by Country - CA","Daily Reach by Country - CD","Daily Reach by Country - CG","Daily Reach by Country - CH","Daily Reach by Country - CI","Daily Reach by Country - CL","Daily Reach by Country - CM","Daily Reach by Country - CN","Daily Reach by Country - CO","Daily Reach by Country - CR","Daily Reach by Country - CY","Daily Reach by Country - CZ","Daily Reach by Country - DE","Daily Reach by Country - DK","Daily Reach by Country - DO","Daily Reach by Country - DZ","Daily Reach by Country - EC","Daily Reach by Country - EE","Daily Reach by Country - EG","Daily Reach by Country - ES","Daily Reach by Country - ET","Daily Reach by Country - FI","Daily Reach by Country - FR","Daily Reach by Country - GB","Daily Reach by Country - GE","Daily Reach by Country - GH","Daily Reach by Country - GM","Daily Reach by Country - GN","Daily Reach by Country - GR","Daily Reach by Country - GT","Daily Reach by Country - HK","Daily Reach by Country - HR","Daily Reach by Country - HT","Daily Reach by Country - HU","Daily Reach by Country - ID","Daily Reach by Country - IE","Daily Reach by Country - IL","Daily Reach by Country - IN","Daily Reach by Country - IQ","Daily Reach by Country - IR","Daily Reach by Country - IT","Daily Reach by Country - JE","Daily Reach by Country - JO","Daily Reach by Country - JP","Daily Reach by Country - KE","Daily Reach by Country - KH","Daily Reach by Country - KR","Daily Reach by Country - KW","Daily Reach by Country - KY","Daily Reach by Country - KZ","Daily Reach by Country - LB","Daily Reach by Country - LK","Daily Reach by Country - LR","Daily Reach by Country - LT","Daily Reach by Country - LV","Daily Reach by Country - LY","Daily Reach by Country - MA","Daily Reach by Country - MC","Daily Reach by Country - ME","Daily Reach by Country - MG","Daily Reach by Country - MK","Daily Reach by Country - ML","Daily Reach by Country - MM","Daily Reach by Country - MO","Daily Reach by Country - MU","Daily Reach by Country - MX","Daily Reach by Country - MY","Daily Reach by Country - MZ","Daily Reach by Country - NE","Daily Reach by Country - NG","Daily Reach by Country - NL","Daily Reach by Country - NO","Daily Reach by Country - NP","Daily Reach by Country - NZ","Daily Reach by Country - OM","Daily Reach by Country - PA","Daily Reach by Country - PE","Daily Reach by Country - PH","Daily Reach by Country - PK","Daily Reach by Country - PL","Daily Reach by Country - PS","Daily Reach by Country - PT","Daily Reach by Country - PY","Daily Reach by Country - QA","Daily Reach by Country - RO","Daily Reach by Country - RS","Daily Reach by Country - RU","Daily Reach by Country - SA","Daily Reach by Country - SD","Daily Reach by Country - SE","Daily Reach by Country - SG","Daily Reach by Country - SI","Daily Reach by Country - SK","Daily Reach by Country - SL","Daily Reach by Country - SN","Daily Reach by Country - SO","Daily Reach by Country - SS","Daily Reach by Country - SV","Daily Reach by Country - SY","Daily Reach by Country - TD","Daily Reach by Country - TH","Daily Reach by Country - TJ","Daily Reach by Country - TL","Daily Reach by Country - TN","Daily Reach by Country - TR","Daily Reach by Country - TT","Daily Reach by Country - TW","Daily Reach by Country - TZ","Daily Reach by Country - UA","Daily Reach by Country - UG","Daily Reach by Country - US","Daily Reach by Country - UY","Daily Reach by Country - UZ","Daily Reach by Country - VE","Daily Reach by Country - VN","Daily Reach by Country - XK","Daily Reach by Country - YE","Daily Reach by Country - ZA","Daily Reach by Country - ZM"
,"Daily: Total Page Reach by user country. (Unique Users)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-28,75,1,1,,,,1,,1,,1,,,,,1,,,1,,,1,,,,1,,,,,1,,,8,,,5,2,,1,5,17,,,,,1,,,,,,1,,,21,,2,,,7,,1,,,1,,,5,,,,,,,,,,,,,,,,2,,,,2,,,,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,17,,,,,,,,
2017-10-29,75,,,,,,1,,1,2,,,,,,3,,,3,,,3,,,,1,,,,,5,,,19,,,20,1,,,13,22,,,,,,,,,,,1,,,7,,2,4,,6,,,,,1,,,11,,,,,,6,,,,,,,,,,3,,,1,2,,,,2,,1,,1,,,,,,1,,,2,1,,,,,,,,,,3,10,,,,2,,,2,,,,31,,,,,,,,
2017-10-30,88,,,,,1,1,,3,1,,60,,,,1,,,3,,,2,,,1,1,,,,,5,,,22,,,21,3,,,5,21,,,,,2,,1,,,,4,,,15,,1,1,,6,,1,,,,,,10,,,,,,5,,,,,,,,,,2,,,3,,,,,2,,,1,,,,,,1,1,,,113,,,,,,,,,,,3,3,2,,,3,,,1,,1,,21,,,,,,,1,1
2017-10-31,212,,,,,2,11,,38,3,,280,,,,4,,,7,,,2,,,,,,,,,8,3,,12,,,30,5,7,,10,208,,,,,,,,,,,23,,2,48,,2,,,6,2,,,,4,,,6,3,,,,,2,,,,2,,,,,2,9,,,,4,,2,,3,,,11,20,,,,,,,,,1567,8,,,,,,,,,,4,2,3,,1,,3,,,,,,48,,,,,,9,3,
2017-11-01,311,7,,,,2,12,,134,4,,679,,,,7,,,10,,,,,,2,,,,,3,8,,,10,,,10,14,13,,19,212,,,,,,,,,,,17,,,124,,,3,,6,,,,,3,,,6,,,,,,7,,,,,,,,,1486,12,,,,3,,5,2,6,,,17,83,,,,,,,,,4087,4,23,3,,,3,,,,,,7,4,,,,7,,,2,,,67,,,,,,8,5,
2017-11-02,333,3,,,,,10,,117,,,886,,,,3,,,6,,,,,,,,,,,,6,,,3,,,12,5,9,,9,105,,3,,,,,,,,,25,,,84,,3,3,,,,,,,3,,,3,4,,,,,2,,,,,3,,,,1144,4,,,7,4,,8,23,4,,,77,56,,,,,4,,,,4291,3,6,,,,3,,,,,2,5,,,,6,6,,,7,,,26,,,,,,3,,
2017-11-03,191,,,,33,,7,,,4,,11,,,,8,,,6,,,,,8,,,11,4,,,10,,3,,4,,12,263,,,8,124,,,,,,2,,,,,12,,,52,139,,7,,4,,,,,5,,,,,,,,,4,,,,,,,,,33,7,,,,4,,,7,6,2,19,7,4,,,3,,,2,,,40,,4,7,,,,,,,,3,2,,,,148,165,,,,,,52,2,,,,,,,
2017-11-04,165,,,,9,,17,,,,,11,,,,,,,10,,,2,,2,,,3,,2,,4,2,,3,2,,16,109,,,11,160,,,,,2,,,,,,3,3,,51,300,,2,,9,,2,,,5,,,9,,,,,,,,,,,,,,,8,2,,,,7,,,2,6,,2,3,5,,,2,,3,,,,26,,2,3,,,,,,2,,,,,,,97,128,,,,,,40,,,,,,,2,
2017-11-05,165,,1,,,,10,,5,1,,31,,,1,4,,,6,,,1,,,,,2,,,,7,2,,1,,,15,38,,,7,50,,2,,,,,,,,1,2,,,50,604,2,2,,9,,,,,53,,,5,,,,,,1,,,,,,,,,,5,,,2,3,,1,,25,,,4,4,,,,,1,,,,177,,2,1,,,,,,,,,,1,,,231,,,2,,,,42,,,,,,,2,
2017-11-06,358,428,,,,,10,,7,4,,105,,,,4,,,15,,,3,,,,4,5,,,,18,,,6,,,47,48,,,12,180,,,,,3,,3,,,,10,,,88,4506,,6,,11,,4,,,77,,,15,,,,,,5,,,,,,,,,7,11,,,5,9,,,,49,,,41,714,,4,,,9,,,,536,,5,7,,,,,,,,,,5,,,1844,14,,,,,,110,,,,,,,6,
2017-11-07,310,249,,,,,7,,40,,,111,,,,13,,,10,,,,,,,3,6,,,,8,21,,5,,,27,251,,,4,63,,,,,,,,,,,21,,3,200,372,,7,,7,,3,,3,10,,,10,,,,,,3,,,,,,,,,3,7,,,7,3,,6,,8,,,14,529,,3,,,3,,,,574,,,3,,,,,,,,,,,,,306,6,,3,,,3,80,,,,,,,5,
2017-11-08,415,12,,,,,5,,118,,,72,5,,,63,,,6,6,,,5,,7,,,,,,7,14,,9,,,45,11,8,,6,112,,9,,12,,,,,,,120,,,996,17,,,,13,,8,,,6,,,12,,,,,,17,,,,,,,,,8,13,10,,29,6,,17,,5,,,22,103,,,,,,,,,885,,,,,,,,6,,,,,18,,,21,,,,8,,,58,,,,,,,5,
2017-11-09,343,6,,,,,6,,42,2,,50,,2,,6,,,8,,,,3,,,,,,,,10,7,,8,,,20,6,,,10,114,,2,,,,,,,,,42,,,245,14,,3,,9,,3,,,3,,,10,3,,,,,9,,,,,,,,,4,18,,,8,4,,3,,,,,18,39,,,,,2,43,,,1008,,,,,,,,2,,,,,4,,,11,3,3,,,,,60,,,,,,,4,
