Date,"Daily Page Stories","Daily Total Impressions","Daily Total Reach","Daily Page Engaged Users","Daily Post Engagements","Daily Page Consumptions","Daily Total Consumers","Daily New Likes","Daily New Likes","Daily Unlikes","Daily Unlikes","Daily New Follows","Daily New Follows","Daily Total Video Views"
,"Daily: The number of stories created about your Page. (Total Count)","Daily: The number of impressions seen of any content associated with your Page. (Total Count)","Daily: The number of people who have seen any content associated with your Page. (Unique Users)","Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users)","Daily: The number of times people have engaged with your posts through like, comments and shares and more.","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Daily: The number of new people who have liked your Page (Total Count)","Daily: The number of new people who have liked your Page (Unique Users)","Daily: The number of Unlikes of your Page (Total Count)","Daily: The number of Unlikes of your Page (Unique Users)","Daily: The number of new people who have followed your Page (Total Count)","Daily: The number of new people who have followed your Page (Unique Users)","Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count)"
2017-10-08,69,4995,4532,624,1179,1114,608,4,4,,,4,4,841
2017-10-09,21,2869,1599,56,96,77,48,1,1,,,1,1,67
2017-10-10,49,16632,9398,53,87,39,18,1,1,,,1,1,25
2017-10-11,157,34972,17566,192,313,161,96,3,3,2,2,5,4,30
2017-10-12,45,17952,8140,68,111,69,47,1,1,,,2,2,40
2017-10-13,42,6179,3678,56,138,98,38,2,2,1,1,2,2,39
2017-10-14,9,4124,2115,17,40,33,11,2,2,,,2,2,20
2017-10-15,22,2325,828,28,46,29,17,,,,,,,25
2017-10-16,59,2765,1121,59,98,40,20,1,1,,,1,1,12
2017-10-17,15,483,215,22,37,24,14,1,1,1,1,1,1,7
2017-10-18,53,1343,430,49,132,81,35,1,1,,,1,1,38
2017-10-19,24,1095,551,56,94,70,44,,,,,,,13
2017-10-20,113,3098,1501,147,366,256,117,2,2,,,2,2,107
2017-10-21,76,1839,736,96,216,143,64,2,2,1,1,2,2,58
2017-10-22,23,968,395,36,77,56,27,2,2,,,2,2,13
2017-10-23,12,404,195,19,49,37,15,,,1,1,,,24
2017-10-24,62,1200,588,74,138,79,39,1,1,1,1,1,1,19
2017-10-25,25,823,435,35,60,36,15,1,1,,,1,1,122
2017-10-26,22,650,291,33,69,50,23,2,2,,,1,1,96
2017-10-27,24,611,233,39,78,57,31,1,1,,,1,1,38
2017-10-28,20,448,191,29,52,33,15,,,2,2,,,27
2017-10-29,22,717,264,28,86,64,19,,,,,,,34
2017-10-30,42,848,454,47,83,45,20,1,1,1,1,1,1,27
2017-10-31,267,3668,2719,272,349,91,44,7,7,,,8,8,28
2017-11-01,681,8849,7685,696,801,134,81,13,12,1,1,13,12,83
2017-11-02,619,8135,7541,658,754,146,85,9,9,3,3,10,10,62
2017-11-03,158,2540,1442,167,277,133,52,11,11,2,2,11,11,47
2017-11-04,140,2001,1297,190,226,95,61,9,9,2,2,9,9,28
2017-11-05,86,2621,1637,235,502,420,196,4,4,1,1,5,5,473
2017-11-06,385,11656,9777,1558,2594,2273,1331,63,63,,,63,64,2137
2017-11-07,2598,5112,3329,2807,881,621,353,2337,2273,5,5,2338,2273,368
2017-11-08,1393,12110,3493,1448,485,307,119,1211,1211,15,15,1211,1253,296
2017-11-09,157,4134,2301,238,461,320,163,15,15,10,10,16,16,334
2017-11-10,172,3829,1907,163,346,176,78,2,2,5,5,2,2,252
2017-11-11,94,3875,2090,149,232,142,88,4,4,4,4,4,4,365
2017-11-12,37,1551,727,76,138,105,62,3,3,1,1,3,3,233
2017-11-13,52,2541,1552,85,160,113,59,3,3,3,3,3,3,494
2017-11-14,160,3609,2068,186,314,161,77,6,6,4,4,7,7,502
2017-11-15,257,3821,2149,263,338,91,54,10,10,7,7,10,10,94
2017-11-16,128,3595,1775,134,259,137,62,5,5,6,6,5,5,81
2017-11-17,120,2932,1806,135,252,136,54,3,3,10,10,3,3,47
2017-11-18,175,2867,2071,199,265,97,52,5,5,6,6,5,5,38
2017-11-19,80,1603,1157,101,138,60,28,2,2,2,2,2,2,30
2017-11-20,81,2336,1269,100,165,88,39,3,3,3,3,3,3,119
2017-11-21,129,4096,2273,136,251,126,64,2,2,1,1,2,2,277
2017-11-22,126,4265,2711,154,274,160,72,12,12,5,5,11,11,460
2017-11-23,124,2459,1133,139,269,148,77,2,2,3,3,2,2,115
2017-11-24,80,2046,909,96,180,105,47,3,3,3,3,3,3,53
2017-11-25,11,531,261,24,44,33,18,,,3,3,,,21
2017-11-26,36,1214,710,43,77,44,25,2,2,1,1,2,2,13
2017-11-27,19,1096,711,41,72,54,31,1,1,3,3,1,1,19
2017-11-28,3899,3791,2170,4032,556,326,159,3660,3660,2,2,3661,3757,35
2017-11-29,172,3563,2219,218,413,251,130,8,8,22,22,8,8,46
2017-11-30,173,3392,2124,202,374,211,110,9,9,9,9,9,9,51
2017-12-01,65,2051,866,77,150,92,47,6,6,10,10,6,6,27
2017-12-02,110,2390,1341,139,278,182,84,11,11,11,11,11,11,219
2017-12-03,32,1836,1541,55,97,67,37,2,2,8,8,2,2,381
2017-12-04,113,2195,1079,144,306,200,93,4,4,9,9,4,4,383
2017-12-05,62,1941,743,64,194,135,53,2,2,6,6,2,2,117
2017-12-06,34,2519,1328,66,140,108,48,1,1,6,6,1,1,55
2017-12-07,53,2178,1038,66,169,124,51,6,6,4,4,6,6,41
2017-12-08,60,2417,1168,99,198,139,72,,,4,4,,,31
2017-12-09,37,1648,934,77,137,104,60,3,3,6,6,4,4,22
2017-12-10,3,307,168,8,12,10,6,1,1,6,6,1,1,11
2017-12-11,21,753,310,33,50,34,18,3,3,8,8,3,3,16
2017-12-12,33,1123,434,39,89,59,29,2,2,2,2,2,2,21
2017-12-13,33,1230,384,48,105,72,36,,,3,3,,,13
2017-12-14,58,1589,624,71,162,107,53,2,2,2,2,2,2,24
2017-12-15,48,1479,883,68,128,88,46,7,7,9,9,7,7,22
2017-12-16,36,1153,825,47,66,32,23,1,1,6,6,1,1,7
2017-12-17,21,501,247,32,61,45,24,5,5,3,3,5,5,25
2017-12-18,45,1114,500,58,113,76,38,7,7,5,5,7,7,82
2017-12-19,260,4497,2373,283,660,418,174,5,4,8,7,5,4,93
2017-12-20,430,6107,5180,591,900,486,262,15,15,8,8,15,15,81
2017-12-21,158,2093,1294,216,356,206,109,5,5,5,5,5,5,49
2017-12-22,252,3869,2341,321,440,201,141,12,12,6,6,11,11,25
2017-12-23,81,1473,1127,80,168,100,60,12,12,7,7,13,13,28
2017-12-24,13,216,117,20,38,34,14,8,8,5,5,8,8,6
2017-12-25,35,911,488,57,108,78,40,3,3,4,4,3,3,142
2017-12-26,154,4012,2207,229,412,265,154,4,4,4,4,4,4,309
2017-12-27,266,5439,3168,386,609,368,220,20,19,8,7,20,19,198
2017-12-28,180,3004,1668,210,316,164,67,24,24,6,6,24,24,65
2017-12-29,314,4592,3058,333,459,193,103,46,46,9,9,46,47,42
2017-12-30,281,2468,2093,307,264,93,62,109,107,10,10,111,109,25
2017-12-31,115,1191,879,122,78,58,25,90,90,6,6,90,90,92
2018-01-01,168,2085,1414,192,172,118,62,114,111,2,2,114,111,29
2018-01-02,299,3405,2518,309,295,87,47,91,89,,,92,90,19
2018-01-03,135,2128,1400,142,182,111,41,62,62,7,7,62,62,216
2018-01-04,480,5970,4340,464,633,228,93,71,71,9,9,71,71,405
2018-01-05,342,5634,3887,380,494,211,103,56,56,5,5,56,57,507
2018-01-06,58,1748,1068,94,170,121,52,7,7,6,6,8,8,192
