Date,"Lifetime Total Follows"
,"Lifetime: The total number of people who have followed your Page. (Unique Users)"
2017-10-08,3156
2017-10-09,3157
2017-10-10,3158
2017-10-11,3161
2017-10-12,3163
2017-10-13,3164
2017-10-14,3166
2017-10-15,3166
2017-10-16,3167
2017-10-17,3167
2017-10-18,3168
2017-10-19,3168
2017-10-20,3170
2017-10-21,3171
2017-10-22,3173
2017-10-23,3172
2017-10-24,3172
2017-10-25,3173
2017-10-26,3174
2017-10-27,3175
2017-10-28,3173
2017-10-29,3173
2017-10-30,3173
2017-10-31,3181
2017-11-01,3194
2017-11-02,3202
2017-11-03,3212
2017-11-04,3219
2017-11-05,3222
2017-11-06,3285
2017-11-07,5618
2017-11-08,6815
2017-11-09,6821
2017-11-10,6818
2017-11-11,6817
2017-11-12,6819
2017-11-13,6819
2017-11-14,6822
2017-11-15,6825
2017-11-16,6824
2017-11-17,6817
2017-11-18,6816
2017-11-19,6816
2017-11-20,6816
2017-11-21,6817
2017-11-22,6822
2017-11-23,6821
2017-11-24,6820
2017-11-25,6816
2017-11-26,6817
2017-11-27,6815
2017-11-28,10472
2017-11-29,10459
2017-11-30,10459
2017-12-01,10455
2017-12-02,10453
2017-12-03,10447
2017-12-04,10442
2017-12-05,10438
2017-12-06,10433
2017-12-07,10435
2017-12-08,10431
2017-12-09,10429
2017-12-10,10423
2017-12-11,10418
2017-12-12,10417
2017-12-13,10413
2017-12-14,10413
2017-12-15,10411
2017-12-16,10406
2017-12-17,10407
2017-12-18,10408
2017-12-19,10404
2017-12-20,10411
2017-12-21,10411
2017-12-22,10416
2017-12-23,10422
2017-12-24,10425
2017-12-25,10424
2017-12-26,10424
2017-12-27,10434
2017-12-28,10452
2017-12-29,10488
2017-12-30,10588
2017-12-31,10674
2018-01-01,10783
2018-01-02,10873
2018-01-03,10928
2018-01-04,10989
2018-01-05,11041
2018-01-06,11043
