Date,"Lifetime Likes by City - 6 October City, Giza Governorate, Egypt","Lifetime Likes by City - Abidjan, Lagunes, Côte d'Ivoire","Lifetime Likes by City - Abu Dhabi, United Arab Emirates","Lifetime Likes by City - Accra, Greater Accra Region, Ghana","Lifetime Likes by City - Addis Ababa, Ethiopia","Lifetime Likes by City - Agra, Uttar Pradesh, India","Lifetime Likes by City - Ahmedabad, Gujarat, India","Lifetime Likes by City - Al Ain, Abu Dhabi, United Arab Emirates","Lifetime Likes by City - Al Ajman, Emirate of Ajman, United Arab Emirates","Lifetime Likes by City - Alexandria, Alexandria Governorate, Egypt","Lifetime Likes by City - Allahabad, Uttar Pradesh, India","Lifetime Likes by City - Amman, Amman Governorate, Jordan","Lifetime Likes by City - Amritsar, Punjab region, India","Lifetime Likes by City - Assiut, Asyut Governorate, Egypt","Lifetime Likes by City - Aurangabad, Maharashtra, India","Lifetime Likes by City - Bandung, West Java, Indonesia","Lifetime Likes by City - Bangalore, Karnataka, India","Lifetime Likes by City - Bangkok, Thailand","Lifetime Likes by City - Bekasi, West Java, Indonesia","Lifetime Likes by City - Bhopal, Madhya Pradesh, India","Lifetime Likes by City - Bhubaneswar, Odisha, India","Lifetime Likes by City - Cairo, Cairo Governorate, Egypt","Lifetime Likes by City - Casablanca, Grand Casablanca, Morocco","Lifetime Likes by City - Chennai, Tamil Nadu, India","Lifetime Likes by City - Chittagong, Chittagong Division, Bangladesh","Lifetime Likes by City - Dar es Salaam, Tanzania","Lifetime Likes by City - Delhi, India","Lifetime Likes by City - Dhaka, Dhaka Division, Bangladesh","Lifetime Likes by City - Dubai, United Arab Emirates","Lifetime Likes by City - El-Mahalla el-Kubra, Gharbia Governorate, Egypt","Lifetime Likes by City - Gauhati, Assam, India","Lifetime Likes by City - Ghaziabad, Uttar Pradesh, India","Lifetime Likes by City - Giza, Giza Governorate, Egypt","Lifetime Likes by City - Hyderabad, Telangana, India","Lifetime Likes by City - Indore, Madhya Pradesh, India","Lifetime Likes by City - Jaipur, Rajasthan, India","Lifetime Likes by City - Jakarta, Indonesia","Lifetime Likes by City - Jeddah, Makkah Region, Saudi Arabia","Lifetime Likes by City - Kabul, Kabul Province, Afghanistan","Lifetime Likes by City - Kanpur, Uttar Pradesh, India","Lifetime Likes by City - Karachi, Sindh, Pakistan","Lifetime Likes by City - Kathmandu, Bagmati Zone, Nepal","Lifetime Likes by City - Kolkata, West Bengal, India","Lifetime Likes by City - Lagos, Lagos State, Nigeria","Lifetime Likes by City - Lahore, Punjab, Pakistan","Lifetime Likes by City - London, England, United Kingdom","Lifetime Likes by City - Lucknow, Uttar Pradesh, India","Lifetime Likes by City - Ludhiana, Punjab region, India","Lifetime Likes by City - Malappuram, Kerala, India","Lifetime Likes by City - Manama, Capital Governorate, Bahrain","Lifetime Likes by City - Mansoura, Dakahlia Governorate, Egypt","Lifetime Likes by City - Medan, North Sumatra, Indonesia","Lifetime Likes by City - Minya, Minya Governorate, Egypt","Lifetime Likes by City - Mumbai, Maharashtra, India","Lifetime Likes by City - Nagpur, Maharashtra, India","Lifetime Likes by City - Nairobi, Kenya","Lifetime Likes by City - Nangloi Jat, Delhi, India","Lifetime Likes by City - Navi Mumbai (New Mumbai), Maharashtra, India","Lifetime Likes by City - New Delhi, Delhi, India","Lifetime Likes by City - New York, NY","Lifetime Likes by City - Noida, Uttar Pradesh, India","Lifetime Likes by City - Patna, Bihar, India","Lifetime Likes by City - Pretoria, Gauteng, South Africa","Lifetime Likes by City - Pune, Maharashtra, India","Lifetime Likes by City - Rajkot, Gujarat, India","Lifetime Likes by City - Rawalpindi, Punjab, Pakistan","Lifetime Likes by City - Ribeirão Bonito, SP, Brazil","Lifetime Likes by City - Riyadh, Riyadh Region, Saudi Arabia","Lifetime Likes by City - Sharjah, Emirate of Sharjah, United Arab Emirates","Lifetime Likes by City - Sidoarjo, East Java, Indonesia","Lifetime Likes by City - Surat, Gujarat, India","Lifetime Likes by City - Tanta, Gharbia Governorate, Egypt","Lifetime Likes by City - Tunis, Tunis Governorate, Tunisia","Lifetime Likes by City - Umm Suqaym, Dubai, United Arab Emirates","Lifetime Likes by City - Vadodara, Gujarat, India","Lifetime Likes by City - Varanasi, Uttar Pradesh, India","Lifetime Likes by City - Visakhapatnam, Andhra Pradesh, India","Lifetime Likes by City - Zagazig, Al Sharqia Governorate, Egypt"
,"Lifetime: Aggregated Facebook location data, sorted by city, about the people who like your Page. (Unique Users)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-08,,,116,16,,15,34,17,10,43,,13,,90,,,38,10,26,14,11,119,,16,,,,46,255,,19,,47,31,44,31,,15,,,17,11,48,28,26,27,70,34,17,,,11,,27,12,,,,48,17,,44,,44,,,17,,22,16,,12,,,,,,11
2017-10-09,10,,116,16,,15,33,17,,43,,13,,89,,,38,,26,14,12,118,,17,,10,,46,254,,19,,49,30,44,31,,15,,,17,11,47,28,25,27,69,34,16,,,11,,27,11,,,,48,17,,43,,44,,,17,,22,16,,12,,,,,,11
2017-10-10,,,116,16,,15,33,17,10,43,,13,,88,,,39,10,26,14,13,118,,17,,,,46,256,,19,,49,30,43,32,,15,,,17,11,46,28,27,27,70,35,16,,,11,,27,11,,,,48,17,,43,,45,,,17,,22,17,,12,,,,,,12
2017-10-11,,,116,16,,15,33,17,,42,,13,,86,,,40,10,27,14,13,119,,17,,,,45,254,,19,,52,30,41,32,,15,,,17,11,46,28,27,26,70,35,16,,,11,,27,11,,,,48,17,,43,,45,,,17,,22,17,10,12,,,,,,13
2017-10-12,,,115,16,,14,32,17,,42,,13,,88,,,40,,27,14,13,120,,17,,,,45,255,,19,,52,30,41,32,,15,,,16,11,46,29,27,25,71,36,17,,,11,10,26,11,,,,48,18,,43,,46,,,17,,22,17,11,12,,,,,,12
2017-10-13,,,115,16,,14,32,17,,42,,13,,87,,,40,10,27,14,13,120,,17,,,,45,255,,19,,52,30,41,32,,15,,,16,11,46,29,27,25,71,36,17,,,11,,26,11,,,,48,18,,43,,46,,,17,,22,17,11,12,,,,,,12
2017-10-14,,,115,16,,14,32,17,,42,,13,,87,,,40,,27,14,13,120,,17,,10,,45,255,,19,,52,30,41,32,,15,,,16,11,46,29,27,25,71,36,17,,,11,,26,11,,,,48,18,,43,,46,,,17,,22,17,11,12,,,,,,12
2017-10-15,,,115,16,,13,31,17,,44,,13,,87,,,40,,25,15,13,120,,17,,,,45,254,,19,,53,29,39,32,,15,,,16,11,46,29,25,25,72,36,17,,,11,10,25,11,,,,48,18,,43,,46,,,17,,22,17,12,12,,,,,,12
2017-10-16,,,117,16,,13,29,17,11,47,,13,,85,,,40,,26,14,14,118,,16,,,,45,251,,18,,53,30,41,35,,15,,,16,12,46,29,27,26,71,37,17,,,11,,25,11,,,,47,18,,42,,47,,,17,,21,16,14,12,,,,,,11
2017-10-17,,,118,16,,12,29,17,11,48,,13,,84,,,41,,25,14,14,117,,16,,,,45,250,,18,,52,30,40,35,,15,,,16,12,46,28,27,26,69,38,16,,,11,,26,12,,,,47,17,,42,,45,,,17,,21,16,14,12,,,,,,11
2017-10-18,,,119,16,,12,29,17,11,47,,13,,84,,,41,,25,12,14,118,,17,,,,45,250,,19,,52,30,41,38,,15,,,16,12,46,28,29,28,70,38,16,,,11,,24,11,,,,47,17,,42,,48,,,17,,21,16,14,12,,,,,,11
2017-10-19,,,120,16,,12,30,17,11,46,,13,,83,,,41,,25,12,14,117,,18,,,,44,249,,19,,53,30,42,37,,15,,,16,12,46,28,30,28,70,38,15,,,11,,24,11,,,,47,17,,41,,46,,,17,,21,16,14,12,,,,,,11
2017-10-20,,,122,16,,14,31,17,11,46,,13,,83,,,41,,27,12,15,116,,17,,,,44,250,,17,,53,30,41,35,,15,,,16,12,46,29,29,28,71,38,15,,,12,,26,11,,,,47,17,,41,,46,,,17,,21,15,13,12,,,,,,11
2017-10-21,,,122,16,,15,32,17,12,46,,13,,83,,,41,,26,13,15,116,,16,,,,44,247,,17,,51,30,42,36,,14,,,16,12,46,29,29,28,71,37,15,,,12,,26,11,,,,44,18,,42,,45,,,17,,21,15,12,12,,,,,,12
2017-10-22,,,124,16,,15,32,17,11,46,,13,,83,,,40,,26,12,15,116,,16,,10,,44,250,,17,,51,31,43,37,,14,,,16,12,45,29,29,28,71,38,15,,,12,,26,,,,,44,18,,44,,45,,,17,,21,15,11,12,,,,,,12
2017-10-23,,,123,16,,15,32,17,11,46,,13,,83,,,40,,26,12,15,116,,16,,10,,44,250,,17,,51,31,43,37,,14,,,16,12,45,29,29,28,71,38,15,,,12,,26,,,,,44,18,,44,,45,,,17,,21,15,11,12,,,,,,12
