Date,"Lifetime Likes by City - 6 October City, Giza Governorate, Egypt","Lifetime Likes by City - Abidjan, Lagunes, Côte d'Ivoire","Lifetime Likes by City - Abu Dhabi, United Arab Emirates","Lifetime Likes by City - Accra, Greater Accra Region, Ghana","Lifetime Likes by City - Addis Ababa, Ethiopia","Lifetime Likes by City - Agra, Uttar Pradesh, India","Lifetime Likes by City - Ahmedabad, Gujarat, India","Lifetime Likes by City - Al Ain, Abu Dhabi, United Arab Emirates","Lifetime Likes by City - Al Ajman, Emirate of Ajman, United Arab Emirates","Lifetime Likes by City - Alexandria, Alexandria Governorate, Egypt","Lifetime Likes by City - Allahabad, Uttar Pradesh, India","Lifetime Likes by City - Amman, Amman Governorate, Jordan","Lifetime Likes by City - Amritsar, Punjab region, India","Lifetime Likes by City - Assiut, Asyut Governorate, Egypt","Lifetime Likes by City - Aurangabad, Maharashtra, India","Lifetime Likes by City - Bandung, West Java, Indonesia","Lifetime Likes by City - Bangalore, Karnataka, India","Lifetime Likes by City - Bangkok, Thailand","Lifetime Likes by City - Bekasi, West Java, Indonesia","Lifetime Likes by City - Bhopal, Madhya Pradesh, India","Lifetime Likes by City - Bhubaneswar, Odisha, India","Lifetime Likes by City - Cairo, Cairo Governorate, Egypt","Lifetime Likes by City - Casablanca, Grand Casablanca, Morocco","Lifetime Likes by City - Chennai, Tamil Nadu, India","Lifetime Likes by City - Chittagong, Chittagong Division, Bangladesh","Lifetime Likes by City - Dar es Salaam, Tanzania","Lifetime Likes by City - Delhi, India","Lifetime Likes by City - Dhaka, Dhaka Division, Bangladesh","Lifetime Likes by City - Dubai, United Arab Emirates","Lifetime Likes by City - El-Mahalla el-Kubra, Gharbia Governorate, Egypt","Lifetime Likes by City - Gauhati, Assam, India","Lifetime Likes by City - Ghaziabad, Uttar Pradesh, India","Lifetime Likes by City - Giza, Giza Governorate, Egypt","Lifetime Likes by City - Hyderabad, Telangana, India","Lifetime Likes by City - Indore, Madhya Pradesh, India","Lifetime Likes by City - Jaipur, Rajasthan, India","Lifetime Likes by City - Jakarta, Indonesia","Lifetime Likes by City - Jeddah, Makkah Region, Saudi Arabia","Lifetime Likes by City - Kabul, Kabul Province, Afghanistan","Lifetime Likes by City - Kanpur, Uttar Pradesh, India","Lifetime Likes by City - Karachi, Sindh, Pakistan","Lifetime Likes by City - Kathmandu, Bagmati Zone, Nepal","Lifetime Likes by City - Kolkata, West Bengal, India","Lifetime Likes by City - Lagos, Lagos State, Nigeria","Lifetime Likes by City - Lahore, Punjab, Pakistan","Lifetime Likes by City - London, England, United Kingdom","Lifetime Likes by City - Lucknow, Uttar Pradesh, India","Lifetime Likes by City - Ludhiana, Punjab region, India","Lifetime Likes by City - Malappuram, Kerala, India","Lifetime Likes by City - Manama, Capital Governorate, Bahrain","Lifetime Likes by City - Mansoura, Dakahlia Governorate, Egypt","Lifetime Likes by City - Medan, North Sumatra, Indonesia","Lifetime Likes by City - Minya, Minya Governorate, Egypt","Lifetime Likes by City - Mumbai, Maharashtra, India","Lifetime Likes by City - Nagpur, Maharashtra, India","Lifetime Likes by City - Nairobi, Kenya","Lifetime Likes by City - Nangloi Jat, Delhi, India","Lifetime Likes by City - Navi Mumbai (New Mumbai), Maharashtra, India","Lifetime Likes by City - New Delhi, Delhi, India","Lifetime Likes by City - New York, NY","Lifetime Likes by City - Noida, Uttar Pradesh, India","Lifetime Likes by City - Patna, Bihar, India","Lifetime Likes by City - Pretoria, Gauteng, South Africa","Lifetime Likes by City - Pune, Maharashtra, India","Lifetime Likes by City - Rajkot, Gujarat, India","Lifetime Likes by City - Rawalpindi, Punjab, Pakistan","Lifetime Likes by City - Ribeirão Bonito, SP, Brazil","Lifetime Likes by City - Riyadh, Riyadh Region, Saudi Arabia","Lifetime Likes by City - Sharjah, Emirate of Sharjah, United Arab Emirates","Lifetime Likes by City - Sidoarjo, East Java, Indonesia","Lifetime Likes by City - Surat, Gujarat, India","Lifetime Likes by City - Tanta, Gharbia Governorate, Egypt","Lifetime Likes by City - Tunis, Tunis Governorate, Tunisia","Lifetime Likes by City - Umm Suqaym, Dubai, United Arab Emirates","Lifetime Likes by City - Vadodara, Gujarat, India","Lifetime Likes by City - Varanasi, Uttar Pradesh, India","Lifetime Likes by City - Visakhapatnam, Andhra Pradesh, India","Lifetime Likes by City - Zagazig, Al Sharqia Governorate, Egypt"
2017-10-24,,,123,16,,15,32,17,11,46,,13,,83,,,40,,26,12,15,116,,16,,,,44,250,,17,,51,31,43,37,,13,,,16,12,45,29,29,28,71,38,15,,,12,,26,,10,,,44,18,,44,,45,,,17,,21,15,11,12,,,,,,12
2017-10-25,,,124,16,,15,32,17,11,46,,13,,83,,,40,,26,12,15,116,,16,,,,44,250,,17,,51,31,43,37,,13,,,16,12,45,29,29,28,71,38,15,,,12,,26,,10,,,44,18,,44,,45,,,17,,21,15,11,12,,,,,,12
2017-10-26,,,124,16,,17,28,17,,47,,12,,81,,11,37,,22,11,14,119,,15,,,,45,248,,19,,52,32,42,39,,13,,,17,12,47,29,31,27,70,39,17,,,13,,27,12,,,,45,17,,44,,42,,,17,,22,14,13,12,,,,,,12
2017-10-27,,,125,16,,16,27,17,,46,,12,,79,,11,37,,24,11,14,120,,15,,,,45,246,,19,,50,33,42,39,,13,,,17,12,47,29,31,27,71,38,17,,,13,,27,12,,,,45,17,,44,,41,,,17,,22,14,13,12,,,,,,11
2017-10-28,,,127,16,,15,29,16,,46,,12,,79,,11,36,,25,11,15,121,,15,,,,45,245,,20,,50,33,43,39,,13,,,18,,48,29,31,27,70,37,16,,,13,,27,12,,,,45,17,,44,,41,,,17,,22,13,11,12,,11,,,,11
2017-10-29,,,128,16,,14,29,16,,46,,12,,79,,12,36,,25,,15,122,,15,,,,45,244,,21,,49,33,44,41,,12,,,19,,48,29,31,27,70,37,15,,,12,,26,12,,,,45,17,,43,,41,,,17,11,22,12,11,12,,11,,,,12
2017-10-30,,,127,16,,14,29,16,,46,,12,,79,,12,36,,24,,16,121,,15,,,,45,244,,21,,49,33,46,41,,12,,,19,,48,29,31,27,72,37,15,11,,12,,25,12,,,,45,17,,43,,41,,,17,11,22,12,11,12,,,,,,12
2017-10-31,,,127,16,,15,29,17,,47,,12,,78,,12,36,,25,,16,122,,15,,,,45,243,,21,,49,33,45,39,,13,,,19,,48,29,31,27,72,38,15,11,,12,,25,11,,,,43,17,,44,,42,,,17,14,22,13,11,12,,,,,,12
2017-11-01,,,127,16,,15,30,17,,47,,,,70,,12,37,,24,,17,122,,15,,,,44,242,,21,,50,32,45,39,,15,,,19,,47,29,32,27,73,38,15,12,,12,,25,11,,,,42,18,,47,,40,,,17,18,22,14,11,12,,12,,,,12
2017-11-02,,,127,16,,15,30,17,,46,,,,70,,12,37,,23,,16,124,,15,,,,44,243,,21,,49,33,46,39,,16,,,19,,47,29,31,27,73,38,15,15,,12,,25,11,,,,42,18,,45,,40,,,17,19,22,14,11,12,,11,,,,12
2017-11-03,,,127,16,,15,30,17,,46,,11,,70,,12,37,,23,,16,124,,15,,,,44,244,,21,,49,33,46,39,,15,,,19,,47,29,31,27,73,38,15,15,,12,,25,11,,,,42,18,,45,,40,,,17,19,22,14,,12,17,,,,,12
2017-11-04,,,127,16,,17,31,17,,45,,11,,70,,12,35,,24,,16,124,,15,,,,44,242,,21,,46,33,43,37,,15,,,19,,47,28,29,27,74,37,13,16,,,,24,,,,,43,18,,42,,40,,,17,19,23,14,11,12,19,12,,,,12
2017-11-05,,,127,16,,17,31,17,,45,,,,70,,12,35,,24,,16,124,,15,,,,44,242,11,21,,46,33,43,37,,15,,,19,,47,28,29,27,74,37,13,16,,11,,24,,,,,43,18,,42,,40,,,17,19,23,14,,12,20,12,,,,12
2017-11-06,,,127,16,,15,33,17,,46,,11,,70,,12,35,,24,11,16,124,,16,,,,44,242,11,21,,46,33,43,36,,16,,,20,,47,27,31,28,72,36,12,16,,,,24,,,,,44,18,,42,,40,,,17,21,23,13,,,31,12,,,,12
2017-11-07,,18,128,24,20,33,78,17,,53,,22,,70,,,79,,40,,23,151,,31,25,,,272,243,,38,,54,61,91,80,,19,,,34,,99,44,54,28,136,70,25,22,,18,,252,25,,,,96,18,,86,,105,,,,25,26,21,32,,46,,,,,
2017-11-08,,,129,30,,49,96,,,54,,23,,74,,21,102,,55,,42,151,,41,32,22,,318,245,,50,,57,85,111,107,,,,,45,21,128,63,74,29,167,88,41,30,,26,,262,30,,,,127,,,113,,154,,22,,26,27,33,46,,50,,,,22,
2017-11-09,,,129,30,,48,94,,,53,,23,,74,,,101,,55,,41,153,,40,32,22,,318,245,,51,,57,86,111,108,,22,,,45,22,126,61,72,29,167,87,38,34,,26,,264,29,,,,127,,,113,,154,,22,,26,27,31,46,,49,,,,23,
2017-11-10,,,129,30,,50,94,,,53,,23,,74,,21,102,,55,,41,153,,40,32,22,,317,244,,51,,58,86,109,108,,,,,46,22,123,61,69,28,169,89,36,34,,27,,264,29,,,,128,,,111,,152,,22,,26,28,31,43,,48,,,,24,
2017-11-11,,,129,29,,52,92,,,54,,23,,74,,,102,,57,,41,153,,40,31,22,,316,246,,51,,57,88,109,110,,,21,,46,22,123,61,66,28,170,87,34,34,,27,,266,28,,,,128,,,112,,152,,22,,25,28,32,42,,46,,,,23,
2017-11-12,,,129,29,,51,94,,,55,,23,,77,,,104,,55,,41,152,,39,32,22,,315,247,,51,,55,87,111,110,,22,,,46,22,123,61,65,29,172,88,34,34,,27,,268,29,,,,127,,,110,,153,,22,,25,28,31,42,,44,,,,24,
2017-11-13,,,128,29,,47,91,,,55,,23,,77,,,103,,55,26,41,152,,39,32,22,,316,248,,50,,55,87,106,110,,,,,46,22,124,60,63,29,169,89,33,34,,27,,269,30,,,,127,,,110,,155,,22,,26,28,31,44,,46,,,,24,
2017-11-14,,,127,29,,51,94,,,55,,23,,78,,,102,,54,26,41,152,,39,32,22,,316,248,,52,,55,88,104,110,,,,,46,23,122,60,64,29,170,89,34,34,,27,,267,29,,,,128,,,109,,158,,23,,26,29,31,43,,47,,,,24,
2017-11-15,,,128,29,,51,94,,,55,,23,,78,,,102,,54,26,41,151,,39,32,22,,315,248,,52,,55,88,104,110,,,,,46,23,122,60,64,29,170,89,34,34,,27,,267,29,,,,128,,,109,,158,,23,,26,29,31,43,,51,,,,24,
2017-11-16,,,129,19,,,50,,,47,21,20,,43,21,,85,,37,21,24,223,,34,22,,,262,265,,24,24,45,84,42,51,29,20,,,42,21,89,36,48,34,62,27,,32,,,,260,32,,,,156,20,,47,,86,,,,22,27,,41,20,39,,,,,
2017-11-17,,,132,,,,50,,,48,21,19,,43,20,,87,,34,22,23,220,,34,21,,,263,267,,24,20,49,83,44,54,30,21,,,42,21,91,37,47,34,63,32,,32,,,,267,29,,,19,154,,,44,,95,,,,22,27,,37,20,40,,,,,19
2017-11-18,,,134,,,,50,,,48,21,,,43,20,,87,,34,22,23,220,,34,21,,,263,268,,23,20,49,83,44,54,30,21,,,41,21,91,37,47,34,63,32,,33,,,,266,29,,,19,154,19,,45,,95,,,,22,27,,37,20,40,,,,,19
2017-11-19,,,134,,,,50,,,49,21,,,43,20,,89,,34,21,23,220,,34,21,,,263,269,,23,19,47,83,43,55,28,21,,19,42,21,87,37,46,34,65,30,,33,,,,270,30,,,,156,19,,46,,95,,,,23,27,,36,20,39,,,,,19
2017-11-20,,,135,,,,45,,,49,21,19,,43,21,,89,,33,22,21,219,,35,21,,,261,269,,23,19,47,83,44,57,28,21,,,41,22,86,37,48,34,65,30,,33,,,,274,30,,,,156,19,,45,,93,,,,22,27,,37,21,41,,,,,19
2017-11-21,,,137,,,,49,,,48,21,19,,44,22,18,85,,32,23,22,216,,31,21,,,260,267,,22,,47,81,43,55,28,21,,18,41,20,78,35,49,34,65,29,,33,,,,268,31,,,,156,19,,41,,94,,,,22,26,,38,20,40,,,,,
2017-11-22,,,136,18,18,,47,,,48,21,19,,44,21,,87,,32,22,21,215,,31,21,,,260,269,,22,,46,80,44,55,28,21,,,41,20,80,35,48,35,66,30,,34,,,,269,32,,,,155,19,,42,,92,,,,22,26,,38,20,42,,,,,
2017-11-23,,,136,,,,51,,,47,21,19,,46,21,,88,,31,22,20,215,,32,21,,,260,269,,23,20,46,82,45,55,28,21,,19,41,20,77,37,51,35,69,32,,35,,,,269,31,,,,157,19,,44,,93,,,,21,26,,39,20,45,,,,,
2017-11-24,,,135,,,,53,,,47,22,19,,46,20,,88,,31,22,20,214,,33,21,,,262,271,,24,20,46,81,45,57,31,21,,21,40,21,75,37,53,36,68,33,,34,,,,264,31,,,,158,19,,45,,92,,,,21,26,,43,21,44,,,,,
2017-11-25,,,134,,18,,54,,,47,22,,,45,19,,88,,33,21,20,215,,32,21,,,259,272,,24,20,46,83,44,57,30,21,,20,41,21,77,37,52,35,69,30,,34,,,,277,32,,,,151,19,,43,,95,,,,21,26,,40,22,43,,,,,
2017-11-26,,,134,,18,,53,,,44,22,,,45,20,,86,,33,21,19,214,,32,22,,,257,272,,25,22,45,82,45,57,31,21,,20,41,21,75,37,52,34,73,32,,36,,,,276,32,,,,117,19,,43,,93,,,,21,26,,43,22,42,,,,,
2017-11-27,,,134,,,,53,,,44,23,,,45,22,,85,,33,21,19,216,,34,21,,,258,273,,25,22,44,81,44,57,31,21,,21,41,21,71,37,51,34,73,30,,36,,,,276,32,,,,118,20,,40,,92,,,,21,25,,44,22,42,,,19,,
2017-11-28,,,135,,36,,111,,,61,34,,,49,34,,131,,48,35,29,236,29,52,62,,,535,280,,37,34,62,127,76,90,50,,,47,57,32,112,53,66,34,132,55,,39,,,,585,54,,,,214,,,64,,138,36,,,29,,,76,,59,,32,29,,
2017-11-29,,,136,,36,,105,,,61,35,,,51,33,,131,,48,35,29,238,30,51,64,,,532,281,,37,36,61,129,79,87,49,,,47,56,32,110,52,67,34,129,55,,40,,,,593,51,,,,205,,,58,,141,36,,,30,,,79,,60,,33,29,,
2017-11-30,,,138,,36,,105,,,61,35,,,51,33,,130,,48,35,29,238,30,51,64,,,530,282,,37,36,61,129,79,87,49,,,47,56,32,110,52,67,34,129,55,,40,,,,593,50,,,,205,,,58,,141,36,,,30,,,79,,60,,33,29,,
2017-12-01,,,138,,36,,108,,,61,33,,,50,33,,135,,49,33,29,237,32,50,64,,,532,283,,37,38,63,132,82,88,50,,,47,52,32,112,53,69,34,128,57,,41,,,,595,52,,,,194,,,65,,140,35,,,30,,,80,,59,,32,29,,
2017-12-02,,,140,,36,,105,,,61,34,,,50,33,,137,,47,34,30,236,32,49,63,,,533,282,,39,37,63,132,82,89,52,,,45,51,33,107,52,69,34,132,59,,39,,,,603,52,,,,180,,,66,,141,36,,,30,,,83,,59,,32,30,,
2017-12-03,,,139,,36,,112,,,62,33,,,50,32,,135,,49,36,29,235,32,50,62,,,527,283,,36,38,63,131,78,89,48,,,47,51,34,107,52,69,34,142,59,,38,,,,601,52,,,,159,,,67,,146,34,,,30,,,81,,56,,32,31,,
2017-12-04,,,139,,36,,112,,,62,33,,,50,32,,135,,49,36,,235,32,50,61,,,527,283,,36,38,63,131,78,89,48,,,47,51,33,106,52,69,34,142,59,,38,,,,601,52,,,,159,,29,67,,146,34,,,30,,,81,,55,,32,31,,
2017-12-05,,,139,,36,,112,,,62,33,,,50,32,,135,,49,35,29,235,32,50,61,,,527,284,,36,38,63,130,78,89,48,,,47,51,33,106,52,69,34,142,59,,38,,,,601,52,,,,159,,,67,,146,34,,,30,,,81,,55,,32,31,,
2017-12-06,,,136,,36,,106,,,64,31,,,41,34,,137,,49,33,,239,31,47,62,,,518,284,,36,39,62,128,74,89,52,,,50,51,33,110,54,69,33,142,55,,38,,,,590,54,,,,114,,34,60,,139,35,,,31,,,75,,55,,32,31,,
2017-12-07,,,136,,36,,106,,,64,31,,,41,34,,137,,49,34,,240,31,47,62,,,518,284,,36,39,62,128,74,89,52,,,50,51,33,110,54,69,33,142,55,,38,,,,590,54,,,,114,,35,60,,139,35,,,31,,,75,,55,,32,31,,
2017-12-08,,,136,,36,,112,,,61,32,,,42,34,,138,,51,37,,242,31,46,60,,,526,286,,36,42,64,126,70,91,51,,,53,57,34,113,53,70,33,135,61,,39,,,,592,52,,,,91,,36,66,,143,34,,,31,,,77,,55,,32,31,,
2017-12-09,,,135,,36,,110,,,61,32,,,43,31,,138,,49,35,,243,28,46,59,,,527,286,,38,40,63,127,71,92,50,,,51,56,34,114,54,70,33,137,63,,39,,,,591,51,,,,84,,39,65,,143,34,,,31,,,76,,56,,32,30,,
2017-12-10,,,135,,32,,107,,,63,32,,28,42,33,,134,,53,37,,244,,47,58,,,529,285,,40,43,63,128,75,90,52,,,49,56,34,118,54,70,33,139,59,,38,,,,591,52,,,,81,,39,65,,145,34,,,31,,,75,,56,,31,31,,
2017-12-11,,,135,,32,,109,,,63,33,,28,41,34,,136,,53,35,,245,,49,58,,,532,284,,37,43,62,130,76,89,48,,,48,54,34,118,54,73,33,139,61,,37,,,,594,50,,,,79,,39,63,,151,36,,,32,,,76,,56,,31,30,,
2017-12-12,,,137,,32,,108,,,63,31,,,41,34,,138,,53,36,,246,28,49,59,,,528,284,,40,40,62,129,78,87,49,,,49,54,35,117,54,72,33,137,58,,36,,,,592,50,,,,68,,47,61,,145,35,,,32,,,77,,56,,31,30,,
2017-12-13,,,137,,32,,108,,,63,31,,28,41,34,,138,,53,36,,246,,49,58,,,528,284,,40,40,62,129,78,87,49,,,49,54,35,117,54,72,33,137,58,,36,,,,592,50,,,,68,,47,61,,145,35,,,32,,,77,,56,,31,30,,
2017-12-14,,,136,,32,,102,,,62,33,,,36,34,,138,,59,35,,246,30,50,58,,,535,287,,40,42,63,128,76,88,51,,,47,54,34,118,53,71,33,139,57,,38,,,,599,49,,,,62,,42,62,,144,35,,,33,,,77,,55,,31,29,,
2017-12-15,,,136,,32,,102,,,62,33,,,36,34,,138,,59,35,,246,30,50,58,,,535,288,,40,42,63,128,76,88,51,,,47,54,34,117,53,71,33,138,57,,38,,,,598,50,,,,62,,42,62,,144,35,,,34,,,77,,55,,31,29,,
2017-12-16,,,136,,32,,105,,,62,35,,,36,35,,139,,59,37,,244,30,48,60,,,534,289,,38,41,63,126,78,93,53,,,46,53,35,121,54,72,32,141,56,,37,,,,603,52,,,,60,,37,62,,145,36,,,33,,,75,,55,,31,29,,
2017-12-17,,,136,,32,,104,,,61,33,,,35,35,,135,,60,37,,240,,50,60,,,534,288,,37,41,63,126,81,93,49,,,45,52,35,118,54,74,32,132,59,,37,,,,598,53,,,31,56,,43,64,,144,34,,,33,,,77,28,53,,31,,,
2017-12-18,,,136,,32,,104,,,61,33,,,35,35,,135,,60,37,,240,28,50,60,,,534,288,,37,41,63,126,81,93,49,,,45,52,35,118,54,74,32,132,59,,37,,,,598,53,,,31,56,,43,64,,144,34,,,33,,,76,,53,,31,,,
