Date,"Daily Total Impressions","Daily Paid Impressions","Daily Organic impressions","Daily Viral impressions","Daily Total Impressions of your posts","Daily Paid impressions of your posts","Daily Organic impressions of your posts","Daily Viral Impressions Of Your Posts"
,"Daily: The number of impressions seen of any content associated with your Page. (Total Count)","Daily: The number of impressions of a Sponsored Story or Ad pointing to your Page. (Total Count)","Daily: The number of times your posts were seen in News Feed or ticker or on visits to your Page. These impressions can be by people who have liked your Page and people who haven't. (Total Count)","Daily: The number of impressions of a story published by a friend about your Page. These stories include liking your Page, posting to your Page's Wall, liking, commenting on or sharing one of your Page posts, answering a Question you posted, RSVPing to one of your events, mentioning your Page, phototagging your Page or checking in at your Place. (Total Count)","Daily: The number of impressions that came from all of your posts. (Total Count)","Daily: The number of impressions of your Page posts in an Ad or Sponsored Story. (Total Count)","Daily: The number of impressions of your posts in News Feed or ticker or on your Page. (Total Count)","Daily: The number of times users saw your posts via stories published by their friends. (Total Count)"
2017-12-17,501,,418,70,433,,367,66
2017-12-18,1114,,1017,75,1052,,977,75
2017-12-19,4497,1350,2614,478,4360,1350,2539,471
2017-12-20,6107,4077,1167,790,5846,4077,983,786
2017-12-21,2093,867,859,317,1962,867,784,311
2017-12-22,3869,1892,1519,425,3739,1892,1428,419
2017-12-23,1473,820,374,253,1373,820,305,248
2017-12-24,216,,150,60,154,,97,57
2017-12-25,911,,818,72,850,,781,69
2017-12-26,4012,1603,2158,223,3908,1603,2088,217
2017-12-27,5439,2461,2265,671,5144,2310,2169,665
2017-12-28,3004,1039,1395,536,2707,856,1320,531
2017-12-29,4592,2929,1440,167,4022,2533,1331,158
2017-12-30,2468,1903,357,186,1755,1297,281,177
2017-12-31,1191,652,475,48,440,,398,42
2018-01-01,2085,852,848,363,1209,52,810,347
2018-01-02,3405,2262,957,159,2737,1657,924,156
2018-01-03,2128,880,967,230,1758,625,909,224
2018-01-04,5970,3604,1760,529,5537,3335,1680,522
2018-01-05,5634,3119,1595,879,5315,2935,1509,871
2018-01-06,1748,594,766,354,1634,594,695,345
