Date,"Daily Reach Demographics - F.13-17","Daily Reach Demographics - F.18-24","Daily Reach Demographics - F.25-34","Daily Reach Demographics - F.35-44","Daily Reach Demographics - F.45-54","Daily Reach Demographics - F.55-64","Daily Reach Demographics - F.65+","Daily Reach Demographics - M.13-17","Daily Reach Demographics - M.18-24","Daily Reach Demographics - M.25-34","Daily Reach Demographics - M.35-44","Daily Reach Demographics - M.45-54","Daily Reach Demographics - M.55-64","Daily Reach Demographics - M.65+","Daily Reach Demographics - U.13-17","Daily Reach Demographics - U.18-24","Daily Reach Demographics - U.25-34","Daily Reach Demographics - U.35-44","Daily Reach Demographics - U.45-54","Daily Reach Demographics - U.55-64","Daily Reach Demographics - U.65+"
,"Daily: Total Page Reach by age and gender. (Unique Users)",,,,,,,,,,,,,,,,,,,,
2017-10-08,1,7,39,61,52,22,16,2,279,1070,1160,1035,479,167,,,1,1,5,,1
2017-10-09,2,40,82,91,85,24,26,28,192,344,282,200,109,54,,,7,7,4,4,2
2017-10-10,2,335,751,622,436,149,130,228,1098,2083,1549,886,577,356,,,33,38,18,11,14
2017-10-11,5,581,1453,1305,886,323,300,432,2016,3868,2735,1575,996,590,,3,66,77,49,25,19
2017-10-12,5,289,740,637,455,210,189,166,901,1724,1277,695,413,337,,2,23,34,24,17,18
2017-10-13,1,113,391,316,234,115,131,41,386,637,487,291,189,172,,2,13,19,17,10,10
2017-10-14,2,76,189,181,115,67,78,31,297,421,309,177,94,110,,,7,14,7,8,10
2017-10-15,1,19,52,70,64,12,6,23,152,198,107,74,32,14,,,7,1,5,,
2017-10-16,3,25,69,115,73,17,16,28,164,240,183,100,55,26,,,4,4,6,2,1
2017-10-17,3,11,18,41,30,4,8,4,19,25,30,14,7,3,,1,,1,2,,
2017-10-18,3,25,30,75,45,28,16,4,30,66,37,35,12,6,,,3,3,4,1,1
2017-10-19,4,19,42,67,52,22,12,2,32,105,68,65,38,15,,,1,7,3,,3
