Date,"Daily Reach Demographics - F.13-17","Daily Reach Demographics - F.18-24","Daily Reach Demographics - F.25-34","Daily Reach Demographics - F.35-44","Daily Reach Demographics - F.45-54","Daily Reach Demographics - F.55-64","Daily Reach Demographics - F.65+","Daily Reach Demographics - M.13-17","Daily Reach Demographics - M.18-24","Daily Reach Demographics - M.25-34","Daily Reach Demographics - M.35-44","Daily Reach Demographics - M.45-54","Daily Reach Demographics - M.55-64","Daily Reach Demographics - M.65+","Daily Reach Demographics - U.13-17","Daily Reach Demographics - U.18-24","Daily Reach Demographics - U.25-34","Daily Reach Demographics - U.35-44","Daily Reach Demographics - U.45-54","Daily Reach Demographics - U.55-64","Daily Reach Demographics - U.65+"
2017-10-20,2,25,68,134,140,77,40,10,119,306,248,181,77,41,,,2,9,12,3,3
2017-10-21,6,30,54,119,119,35,25,13,68,79,78,60,22,14,,,3,8,6,1,2
2017-10-22,1,15,35,66,59,33,14,4,42,33,41,29,15,7,,,2,3,5,1,1
2017-10-23,1,6,16,27,30,10,6,2,17,23,26,17,6,2,,,,2,1,1,
2017-10-24,,19,57,94,62,25,15,4,43,110,65,42,17,14,,,2,5,3,,1
2017-10-25,,12,27,61,66,14,13,,28,70,63,50,11,14,,,,6,8,2,
2017-10-26,,11,29,49,38,15,5,1,12,27,46,35,4,4,,,1,2,3,,1
2017-10-27,,10,19,44,33,8,6,2,16,21,29,22,7,3,,1,1,3,2,,1
2017-10-28,,2,17,29,28,8,3,4,16,25,25,21,4,2,,,1,2,1,,1
2017-10-29,,9,32,49,35,9,6,1,14,25,42,30,5,5,,,2,1,3,,1
2017-10-30,,10,37,57,39,10,9,3,39,90,70,43,16,11,,1,2,4,4,,
2017-10-31,1,43,151,136,96,43,48,7,302,994,416,228,91,87,,,6,7,6,2,1
2017-11-01,1,133,436,335,273,252,140,3,1060,2785,937,599,279,238,,,6,10,7,3,5
2017-11-02,1,126,636,444,283,150,121,6,988,2701,968,570,208,149,,,8,6,7,5,2
2017-11-03,1,61,142,156,136,59,38,11,137,296,190,134,65,41,,,3,7,4,2,2
2017-11-04,2,47,121,143,101,45,29,10,104,264,173,126,55,41,,,1,13,7,,1
2017-11-05,,25,83,105,78,34,25,4,91,348,310,287,121,72,,,1,6,2,,1
2017-11-06,3,122,361,262,211,107,97,15,517,2623,1952,1726,982,410,,1,3,11,12,3,3
2017-11-07,8,106,253,155,113,63,54,29,481,1089,491,294,144,88,,,2,4,4,,3
2017-11-08,49,158,170,127,94,26,31,293,1146,746,293,207,63,45,,,4,5,5,3,2
2017-11-09,10,58,161,106,90,34,18,60,361,593,327,299,96,41,,,1,6,3,,1
2017-11-10,10,63,139,124,70,20,24,63,385,508,216,154,48,37,,,4,4,4,,2
2017-11-11,8,49,149,143,113,75,60,51,328,482,282,200,107,83,,,10,6,4,,3
2017-11-12,1,29,59,96,61,10,17,32,137,109,102,60,15,8,,,7,9,2,,2
2017-11-13,2,33,77,131,81,43,40,23,149,313,245,161,89,121,,,6,13,8,2,4
2017-11-14,3,45,147,146,87,41,54,29,252,501,304,170,125,187,,1,5,14,4,1,4
2017-11-15,1,68,201,166,92,42,39,25,364,520,320,158,90,75,,,4,7,4,2,
2017-11-16,5,61,126,134,94,24,30,19,439,448,213,120,43,30,,,5,11,4,3,1
2017-11-17,4,53,137,149,108,43,34,18,341,439,228,116,56,45,,,6,13,6,5,1
2017-11-18,1,49,189,183,114,34,36,17,342,539,251,129,48,40,,,9,11,7,6,1
2017-11-19,,33,93,109,59,32,21,21,186,309,132,72,33,29,,,6,9,2,2,
2017-11-20,2,46,78,82,60,15,13,22,311,274,170,84,48,37,,,3,3,3,1,1
2017-11-21,2,57,166,151,105,52,39,48,437,648,313,204,81,49,,,4,9,6,1,3
2017-11-22,4,40,156,152,119,59,38,29,297,984,455,233,75,47,,,5,7,5,1,2
2017-11-23,4,33,86,112,89,25,27,32,197,230,147,98,18,29,,,3,5,3,3,1
2017-11-24,3,31,75,102,61,21,21,33,180,143,104,62,19,27,,,2,4,2,1,1
2017-11-25,5,11,20,25,22,6,6,16,61,31,20,15,6,3,,,1,1,3,1,1
2017-11-26,5,35,48,67,56,12,8,40,222,97,50,37,13,13,,,2,,,,1
2017-11-27,4,29,56,64,68,15,11,45,192,114,72,43,8,7,,,2,1,2,,1
2017-11-28,7,82,185,161,103,27,33,64,481,561,256,139,41,48,,,6,11,6,2,1
2017-11-29,11,68,147,155,139,51,44,93,514,507,201,115,51,43,1,,4,9,5,3,1
2017-11-30,4,96,152,148,133,52,48,56,512,443,219,107,53,42,1,1,3,4,6,2,1
2017-12-01,5,31,46,90,59,22,18,34,188,146,105,63,22,16,1,,1,,4,,2
2017-12-02,4,79,87,120,90,71,73,41,239,164,147,100,52,49,1,,2,6,6,,3
2017-12-03,,32,72,127,108,45,32,15,233,368,242,116,50,39,,1,2,11,8,3,3
2017-12-04,5,34,77,96,94,17,21,39,238,207,118,71,18,25,,,2,2,4,1,1
2017-12-05,3,26,62,73,69,18,10,49,187,101,70,49,17,16,,,2,3,4,,2
2017-12-06,10,55,172,115,75,20,8,32,245,345,129,45,18,11,,2,4,2,5,,2
2017-12-07,6,49,135,83,58,15,17,27,199,250,116,65,19,15,,,2,5,6,,1
2017-12-08,3,44,77,139,116,32,25,24,171,189,153,96,25,25,,,4,8,9,2,1
2017-12-09,3,29,88,88,76,26,27,28,131,163,129,74,19,19,,,3,8,7,2,1
2017-12-10,2,5,20,18,17,4,5,4,24,30,18,11,6,5,,,1,,1,,
2017-12-11,1,14,19,29,25,9,5,14,89,44,29,18,4,4,,,1,,1,,1
2017-12-12,3,19,32,39,37,7,7,23,100,77,41,32,7,7,,,2,,2,,
2017-12-13,4,10,31,34,34,10,5,22,88,61,41,33,5,2,,,1,1,1,,1
2017-12-14,1,16,45,74,64,18,13,31,108,78,78,58,7,14,,,2,5,3,,1
2017-12-15,6,130,66,72,68,21,19,22,183,78,95,50,27,18,,,2,1,4,1,2
2017-12-16,3,149,64,72,58,39,17,12,167,81,70,47,30,22,,,,1,1,,1
2017-12-17,3,8,23,24,27,4,6,13,62,28,28,10,4,6,,,1,,1,,1
2017-12-18,3,13,38,69,49,11,12,25,104,65,47,38,10,5,,,,3,3,,1
2017-12-19,4,84,129,140,103,23,27,80,837,581,186,97,31,33,,,3,4,6,1,1
2017-12-20,3,315,250,266,189,95,56,54,1528,1221,459,215,122,85,,2,7,15,11,4,1
2017-12-21,3,28,53,90,65,29,17,21,329,320,154,87,37,33,,,4,5,6,2,1
2017-12-22,3,35,92,167,126,52,32,25,556,686,280,146,56,54,,1,4,6,11,3,1
2017-12-23,1,24,70,140,122,40,35,5,102,173,183,125,55,33,,,1,12,8,3,2
2017-12-24,,7,13,15,18,4,7,3,7,13,12,6,5,,,,,1,,,
2017-12-25,2,10,29,54,36,12,12,19,120,69,61,38,11,12,,,,3,1,,
2017-12-26,3,73,123,123,77,17,24,38,571,671,250,109,37,27,,,7,7,6,1,1
2017-12-27,6,137,179,197,129,39,32,42,825,997,374,211,74,44,,1,6,8,5,4,2
2017-12-28,5,34,75,113,108,24,16,43,460,411,183,138,30,27,,1,4,4,7,3,2
2017-12-29,31,115,127,113,71,22,19,53,998,1053,260,128,39,28,,,6,4,3,3,1
2017-12-30,51,116,119,82,55,22,10,71,578,729,174,89,18,16,,,1,2,2,2,1
2017-12-31,68,56,53,56,38,13,7,63,190,210,94,28,12,2,,,,3,1,,
2018-01-01,59,93,98,109,64,21,10,80,260,311,148,93,19,7,,,1,6,6,,1
2018-01-02,60,174,185,120,79,32,23,62,610,627,211,114,45,22,,,5,9,6,3,1
2018-01-03,33,91,136,103,66,19,23,57,234,317,164,87,27,20,,,2,3,2,,
2018-01-04,46,173,317,217,127,55,27,81,958,1410,510,190,73,66,,,9,6,6,4,1
2018-01-05,35,160,241,229,167,67,53,64,706,1062,556,309,133,70,,1,8,14,14,3,2
2018-01-06,4,29,49,96,70,35,19,10,181,232,135,86,31,25,,,3,2,5,4,
