Date,"Daily Reach by Language - af_ZA","Daily Reach by Language - ak_GH","Daily Reach by Language - am_ET","Daily Reach by Language - ar_AR","Daily Reach by Language - as_IN","Daily Reach by Language - az_AZ","Daily Reach by Language - bg_BG","Daily Reach by Language - bn_IN","Daily Reach by Language - bp_IN","Daily Reach by Language - bs_BA","Daily Reach by Language - ca_ES","Daily Reach by Language - cb_IQ","Daily Reach by Language - cs_CZ","Daily Reach by Language - cx_PH","Daily Reach by Language - cy_GB","Daily Reach by Language - da_DK","Daily Reach by Language - de_DE","Daily Reach by Language - el_GR","Daily Reach by Language - en_GB","Daily Reach by Language - en_IN","Daily Reach by Language - en_PI","Daily Reach by Language - en_UD","Daily Reach by Language - en_US","Daily Reach by Language - eo_EO","Daily Reach by Language - es_ES","Daily Reach by Language - es_LA","Daily Reach by Language - es_MX","Daily Reach by Language - et_EE","Daily Reach by Language - eu_ES","Daily Reach by Language - fa_IR","Daily Reach by Language - fb_LT","Daily Reach by Language - fi_FI","Daily Reach by Language - fo_FO","Daily Reach by Language - fr_CA","Daily Reach by Language - fr_FR","Daily Reach by Language - gl_ES","Daily Reach by Language - gu_IN","Daily Reach by Language - ha_NG","Daily Reach by Language - he_IL","Daily Reach by Language - hi_IN","Daily Reach by Language - hr_HR","Daily Reach by Language - ht_HT","Daily Reach by Language - hu_HU","Daily Reach by Language - id_ID","Daily Reach by Language - is_IS","Daily Reach by Language - it_IT","Daily Reach by Language - ja_JP","Daily Reach by Language - ja_KS","Daily Reach by Language - jv_ID","Daily Reach by Language - ka_GE","Daily Reach by Language - kn_IN","Daily Reach by Language - ko_KR","Daily Reach by Language - ku_TR","Daily Reach by Language - lg_UG","Daily Reach by Language - lt_LT","Daily Reach by Language - lv_LV","Daily Reach by Language - mg_MG","Daily Reach by Language - mi_NZ","Daily Reach by Language - mk_MK","Daily Reach by Language - ml_IN","Daily Reach by Language - mr_IN","Daily Reach by Language - ms_MY","Daily Reach by Language - my_MM","Daily Reach by Language - nb_NO","Daily Reach by Language - ne_NP","Daily Reach by Language - nl_BE","Daily Reach by Language - nl_NL","Daily Reach by Language - nn_NO","Daily Reach by Language - or_IN","Daily Reach by Language - pa_IN","Daily Reach by Language - pl_PL","Daily Reach by Language - ps_AF","Daily Reach by Language - pt_BR","Daily Reach by Language - pt_PT","Daily Reach by Language - ro_RO","Daily Reach by Language - ru_RU","Daily Reach by Language - rw_RW","Daily Reach by Language - si_LK","Daily Reach by Language - sk_SK","Daily Reach by Language - sl_SI","Daily Reach by Language - so_SO","Daily Reach by Language - sq_AL","Daily Reach by Language - sr_RS","Daily Reach by Language - sv_SE","Daily Reach by Language - sw_KE","Daily Reach by Language - sz_PL","Daily Reach by Language - ta_IN","Daily Reach by Language - te_IN","Daily Reach by Language - th_TH","Daily Reach by Language - tl_PH","Daily Reach by Language - tr_TR","Daily Reach by Language - tz_MA","Daily Reach by Language - uk_UA","Daily Reach by Language - ur_PK","Daily Reach by Language - vi_VN","Daily Reach by Language - zh_CN","Daily Reach by Language - zh_HK","Daily Reach by Language - zh_TW","Lifetime Likes by Language - af_ZA","Lifetime Likes by Language - ar_AR","Lifetime Likes by Language - as_IN","Lifetime Likes by Language - az_AZ","Lifetime Likes by Language - bg_BG","Lifetime Likes by Language - bn_IN","Lifetime Likes by Language - ca_ES","Lifetime Likes by Language - cb_IQ","Lifetime Likes by Language - cs_CZ","Lifetime Likes by Language - da_DK","Lifetime Likes by Language - de_DE","Lifetime Likes by Language - el_GR","Lifetime Likes by Language - en_GB","Lifetime Likes by Language - en_IN","Lifetime Likes by Language - en_PI","Lifetime Likes by Language - en_US","Lifetime Likes by Language - es_ES","Lifetime Likes by Language - es_LA","Lifetime Likes by Language - es_MX","Lifetime Likes by Language - fa_IR","Lifetime Likes by Language - fr_CA","Lifetime Likes by Language - fr_FR","Lifetime Likes by Language - gu_IN","Lifetime Likes by Language - hi_IN","Lifetime Likes by Language - hr_HR","Lifetime Likes by Language - hu_HU","Lifetime Likes by Language - id_ID","Lifetime Likes by Language - it_IT","Lifetime Likes by Language - jv_ID","Lifetime Likes by Language - ka_GE","Lifetime Likes by Language - ko_KR","Lifetime Likes by Language - ku_TR","Lifetime Likes by Language - lv_LV","Lifetime Likes by Language - mr_IN","Lifetime Likes by Language - ms_MY","Lifetime Likes by Language - ne_NP","Lifetime Likes by Language - nl_NL","Lifetime Likes by Language - pa_IN","Lifetime Likes by Language - pl_PL","Lifetime Likes by Language - ps_AF","Lifetime Likes by Language - pt_BR","Lifetime Likes by Language - pt_PT","Lifetime Likes by Language - ro_RO","Lifetime Likes by Language - ru_RU","Lifetime Likes by Language - sl_SI","Lifetime Likes by Language - so_SO","Lifetime Likes by Language - sq_AL","Lifetime Likes by Language - sr_RS","Lifetime Likes by Language - sw_KE","Lifetime Likes by Language - ta_IN","Lifetime Likes by Language - te_IN","Lifetime Likes by Language - th_TH","Lifetime Likes by Language - tl_PH","Lifetime Likes by Language - tr_TR","Lifetime Likes by Language - tz_MA","Lifetime Likes by Language - ur_PK","Lifetime Likes by Language - vi_VN","Lifetime Likes by Language - zh_TW","Lifetime Follows by Language - af_ZA","Lifetime Follows by Language - ar_AR","Lifetime Follows by Language - as_IN","Lifetime Follows by Language - az_AZ","Lifetime Follows by Language - bg_BG","Lifetime Follows by Language - bn_IN","Lifetime Follows by Language - ca_ES","Lifetime Follows by Language - cb_IQ","Lifetime Follows by Language - cs_CZ","Lifetime Follows by Language - da_DK","Lifetime Follows by Language - de_DE","Lifetime Follows by Language - el_GR","Lifetime Follows by Language - en_GB","Lifetime Follows by Language - en_IN","Lifetime Follows by Language - en_PI","Lifetime Follows by Language - en_US","Lifetime Follows by Language - es_ES","Lifetime Follows by Language - es_LA","Lifetime Follows by Language - es_MX","Lifetime Follows by Language - fa_IR","Lifetime Follows by Language - fr_CA","Lifetime Follows by Language - fr_FR","Lifetime Follows by Language - gu_IN","Lifetime Follows by Language - hi_IN","Lifetime Follows by Language - hr_HR","Lifetime Follows by Language - hu_HU","Lifetime Follows by Language - id_ID","Lifetime Follows by Language - it_IT","Lifetime Follows by Language - jv_ID","Lifetime Follows by Language - ka_GE","Lifetime Follows by Language - ko_KR","Lifetime Follows by Language - ku_TR","Lifetime Follows by Language - lv_LV","Lifetime Follows by Language - mr_IN","Lifetime Follows by Language - ms_MY","Lifetime Follows by Language - nl_NL","Lifetime Follows by Language - pa_IN","Lifetime Follows by Language - pl_PL","Lifetime Follows by Language - ps_AF","Lifetime Follows by Language - pt_BR","Lifetime Follows by Language - pt_PT","Lifetime Follows by Language - ro_RO","Lifetime Follows by Language - ru_RU","Lifetime Follows by Language - sl_SI","Lifetime Follows by Language - so_SO","Lifetime Follows by Language - sq_AL","Lifetime Follows by Language - sr_RS","Lifetime Follows by Language - sw_KE","Lifetime Follows by Language - ta_IN","Lifetime Follows by Language - te_IN","Lifetime Follows by Language - th_TH","Lifetime Follows by Language - tl_PH","Lifetime Follows by Language - tr_TR","Lifetime Follows by Language - tz_MA","Lifetime Follows by Language - ur_PK","Lifetime Follows by Language - vi_VN","Lifetime Follows by Language - zh_TW"
2017-10-17,,,,4,,,,,,,,,,,,,6,,60,,,,135,,3,,,,,,,,,,3,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,569,,,2,2,1,,,2,13,1,749,3,1,1335,7,28,,,,91,,11,,1,144,5,1,,,,1,,5,,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,1,,,2,13,1,766,3,1,1377,7,28,,,,91,,11,,1,143,5,1,,,,1,,5,3,1,1,1,74,11,4,2,1,,2,2,1,,,21,,2,1,3,3,1
2017-10-18,,,,10,,,,,,,,,,,,,10,,128,,,,242,,2,2,,,,,,,,,10,,,,,1,,,,4,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,2,,3,5,,,,,,,,,,,,,,,1,,,,1,,,,,571,,,2,2,1,,,2,12,1,750,3,1,1336,7,27,,,,90,,11,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,767,3,1,1379,7,27,,,,90,,11,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-19,,,,17,,,,1,,,,,,,,1,6,2,137,,,,353,,2,1,,,,,,,,,7,,,,,1,,,,13,,,,,,,,,,,,,,,,1,,1,,,,,2,,,1,,,2,1,1,5,,,,,,,,,,,,,,,,,,,1,,1,,,571,,,2,2,1,,,2,12,1,750,3,1,1335,7,27,,,,90,,11,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,1,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,767,3,1,1378,7,27,,,,90,,11,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,1,,21,,2,1,3,3,1
2017-10-20,,,1,80,,,,2,,,,,,,,2,27,1,390,,,,910,,4,2,,,,,,,,,19,,,,,5,,,,19,,2,,,,,,,,,,,,,,1,,,,,,,2,,,,,,2,,8,3,,,,,,,,1,,,1,,2,1,6,,,1,1,,3,,,571,,,2,2,1,,,2,12,1,750,3,1,1338,7,27,,,,90,,11,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,767,3,1,1381,7,27,,,,90,,11,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-21,,,,22,,,,1,,,,,,,,,24,,176,2,,,438,,7,2,,,,,,,,1,30,,,,,2,,,,8,,1,1,,,,,,,,1,,,,,,,1,,1,,,4,,,,,,5,,3,2,,,,,,,,,,,,,1,,3,,,,3,,3,,,571,,,2,2,1,,,2,12,1,750,3,1,1339,7,27,,,,90,,11,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,767,3,1,1382,7,27,,,,90,,11,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-22,,,,3,,,,,,,,,,,,,4,,114,,,,244,,2,,,,,,,,,,18,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,6,,,,2,,,,,,,,,,,1,,,,2,,,,,571,,,2,2,1,,,2,12,1,752,3,1,1340,7,27,,,,90,,10,,1,148,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,769,3,1,1383,7,27,,,,90,,10,,1,147,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-23,,,,,,,,,,,,,,,,,7,,71,,,,104,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,1,,,572,,,2,2,1,,,2,12,1,752,3,1,1337,7,27,,,,90,,10,,1,149,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,574,,,2,2,1,,,2,12,1,768,3,1,1381,7,27,,,,90,,10,,1,148,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-24,,,,32,,,,6,,,,,1,,,,3,,148,1,,,321,,3,2,,,,,,,,,7,,,,,2,,,,39,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,1,1,,,,,,,,1,1,,,,3,1,,,,,,,,,,571,,,2,2,1,,,2,12,1,751,3,1,1339,7,27,,,,90,,10,,1,149,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,768,3,1,1382,7,27,,,,90,,10,,1,148,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-25,,,,26,,,,,,,,,,,,,2,1,101,,,,266,,,,,,,,,,,,26,,,,,,,,1,11,,3,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,1,1,,,,,571,,,2,2,1,,,2,12,1,751,3,1,1340,7,27,,,,90,,10,,1,149,5,,,,,1,,4,,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,768,3,1,1383,7,27,,,,90,,10,,1,148,5,,,,,1,,4,3,1,1,1,73,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-26,,,,7,,,,,,,,,,,,,5,,68,1,,,163,,1,1,,,,,,,,,29,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,571,,,2,2,1,,,2,12,1,751,3,1,1339,7,27,,,,91,,10,,1,149,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,768,3,1,1382,7,27,,,,91,,10,,1,148,5,,,,,1,,4,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-27,,,,4,,,,,,,,,,,,,3,1,65,1,,,139,,2,1,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,571,,,2,2,1,,,2,12,1,752,3,1,1339,7,27,,,,91,,10,,1,149,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,769,3,1,1382,7,27,,,,91,,10,,1,148,5,,,,,1,,4,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-28,,,,2,,,1,,,,,,,,,,,,51,1,,,118,,1,1,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,571,,,2,2,1,,,2,12,1,751,3,1,1338,7,27,,,,91,,11,,1,148,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,573,,,2,2,1,,,2,12,1,768,3,1,1381,7,27,,,,91,,11,,1,147,5,,,,,1,,4,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-29,,,,3,,,,,,,,,,,,,5,,59,,,,148,,1,1,,,,,,,,,46,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,570,,,2,2,1,,,2,12,1,751,3,1,1340,7,27,,,,91,,10,,1,148,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,572,,,2,2,1,,,2,12,1,768,3,1,1383,7,27,,,,91,,10,,1,147,5,,,,,1,,4,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-30,,,,70,,,,2,,,,,,,,,5,1,95,1,,,190,,4,,,,,,,,,,35,,,,,1,,,,29,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,8,,,,,,,,,,,572,,,2,2,1,,,2,12,1,753,3,1,1337,7,27,,,,90,,10,,1,148,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,574,,,2,2,1,,,2,12,1,769,3,1,1381,7,27,,,,90,,10,,1,147,5,,,,,1,,4,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1
2017-10-31,,,,696,1,,,12,,,,,,,,2,8,1,599,2,,,1129,,3,8,,,,2,,,,,22,,,,,5,,,1,124,,2,,,,,,,,,,,,,,1,,2,,,1,,2,,,1,,,4,,1,,,,,,,,1,,,,3,,16,5,3,,,6,2,,,,,575,,,2,3,1,,,2,12,1,754,3,1,1339,7,27,,,,90,,10,,1,148,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,1,,,21,,2,1,3,3,1,,577,,,2,3,1,,,2,12,1,770,3,1,1383,7,27,,,,90,,10,,1,147,5,,,,,1,,4,3,1,1,1,74,11,4,3,,,2,2,1,,,21,,2,1,3,3,1
2017-11-01,,,,466,5,,1,61,,,,,2,,,2,7,1,1671,3,,,3373,,243,1248,12,,,7,,,,3,44,,,,,17,,,2,205,,2,,,,,,1,,,,,,,,5,,3,,1,8,,3,,,2,1,,10,1,2,2,,,,,,,,21,1,,5,1,17,5,9,,,25,3,,,1,,578,,,2,3,1,,,3,12,1,754,3,1,1345,7,27,,,,90,,12,,1,148,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,1,,,22,,2,1,3,3,1,,580,,,2,3,1,,,3,12,1,770,3,1,1389,7,27,,,,90,,12,,1,147,5,,,,,1,,4,3,1,1,1,74,11,4,3,,,2,2,1,,,22,,2,1,3,3,1
2017-11-02,,,,234,3,1,,61,,,,,1,2,,,4,1,1599,6,,,3940,,183,968,4,,,4,,,,1,30,,1,,,25,,,1,176,,3,,,,,,,,,,,,,,9,,3,,,5,,4,,,3,2,,7,,,,,1,,,1,,,6,2,,4,1,24,21,9,,,23,4,,1,1,,579,,,2,3,1,,,3,12,2,756,3,1,1346,7,28,,,,90,,12,,1,148,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,2,,,22,,2,1,3,3,1,,581,,,2,3,1,,,3,12,2,772,3,1,1391,7,28,,,,90,,12,,1,147,5,,,,,1,,4,3,1,1,1,74,11,4,3,,,2,2,2,,,22,,2,1,3,3,1
2017-11-03,,,,187,,,,1,,,14,11,,,,,7,1,201,1,,,379,,184,185,,,,,,,,1,132,4,,,,,,,,13,,9,,,,,,,,,,,,,,,,1,,,,,4,,,,,1,6,3,1,,,,,,1,,,2,,,,,1,1,134,,,,,,,,,581,,,2,3,1,,,3,12,2,755,3,1,1347,7,28,,,,98,,12,,1,148,5,,,,,1,,4,,3,1,1,1,74,11,4,2,,,2,2,2,,,22,,2,1,3,3,1,,583,,,2,3,1,,,3,12,2,771,3,1,1392,7,28,,,,98,,12,,1,147,5,,,,,1,,4,3,1,1,1,74,11,4,3,,,2,2,2,,,22,,2,1,3,3,1
2017-11-04,,,,295,,,,1,,,4,13,1,,,2,2,1,234,1,,,396,,63,62,,,1,,,,,,92,1,,,,,,,,8,,4,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,1,,,,,,,,,,3,,,,,1,,93,,,,,,,,,586,,,2,3,1,,,3,12,2,753,3,1,1350,7,28,,,,101,,11,,1,147,5,,,,,1,,4,,3,,1,1,74,11,4,2,,,2,2,2,,,22,,2,1,4,3,1,,588,,,2,3,1,,,3,12,2,769,3,1,1395,7,28,,,,101,,11,,1,146,5,,,,,1,,4,3,,1,1,74,11,4,3,,,2,2,2,,,22,,2,1,4,3,1
2017-11-05,,,,580,,,,2,,,1,11,,,,2,6,,208,1,,,482,,24,20,,,,,,,,7,201,,,,,2,,,,20,,3,,,,,,,,,,,,,,2,,,,,,,4,,,1,,,3,,,,,,,,,,,1,,,,,4,2,4,,,2,,,,,,587,,,2,3,1,,,3,12,2,754,3,1,1349,7,28,,,,103,,11,,1,147,5,,,,,1,,4,,3,,1,1,75,11,4,2,,,2,2,2,,,22,,2,1,3,3,1,,589,,,2,3,1,,,3,12,2,770,3,1,1394,7,28,,,,103,,11,,1,146,5,,,,,1,,4,3,,1,1,75,11,4,3,,,2,2,2,,,22,,2,1,3,3,1
2017-11-06,,,,4311,1,,,12,,,4,68,1,1,,2,17,3,931,,,,2115,2,29,28,,,,41,1,1,,11,1640,1,,,,1,,,,45,,12,,,,,,2,6,,,,,,,,,3,,3,1,,9,1,,,1,15,10,3,,3,,,,,,,,6,,1,1,,9,3,24,,,37,,2,,1,,601,,,2,3,1,,,3,13,2,765,3,1,1363,7,28,,,,123,,11,,1,148,5,,,,1,1,,4,,4,,1,1,75,11,4,2,,,2,2,2,,,22,,2,1,3,3,1,,603,,,2,3,1,,,3,13,2,781,3,1,1408,7,28,,,,123,,11,,1,147,5,,,,1,1,,4,4,,1,1,75,11,4,3,,,2,2,2,,,22,,2,1,3,3,1
2017-11-07,,,1,460,,,,9,,1,22,14,,,,10,6,1,682,3,,,1456,,145,77,,,,30,,,,2,284,1,,,,8,1,,,85,,6,,,,,,3,,,,1,,,,1,,,,,2,,3,,,,,7,15,2,2,1,,,,,,,,1,1,,3,,4,4,5,,,21,,,,1,,828,1,1,3,26,1,2,,4,13,2,1381,3,1,2489,19,57,,6,,259,2,26,1,2,232,7,3,,,1,,1,4,,5,1,1,4,85,16,5,3,,,2,2,13,,,26,,2,1,4,3,2,,830,1,,3,26,1,2,,4,13,2,1397,3,1,2535,19,57,,6,,259,2,26,1,2,231,7,3,1,,1,1,1,4,5,1,,4,85,16,5,4,,,2,2,13,1,,26,,2,,4,3,2
2017-11-08,,,,165,,,,21,,,1,1,,,,7,6,1,1003,2,,,1772,,12,21,1,,,2,,,,1,90,,1,,,22,,,2,194,,2,,,1,,,,,,,1,,,,2,1,2,,,,,4,,,,,2,61,15,2,3,,,,,1,,2,,5,,2,,19,5,2,,,6,4,,,,,851,1,,3,28,,3,,5,13,2,1763,4,,3004,24,66,1,7,,306,3,35,,3,332,7,3,1,,1,,4,4,,5,,1,5,135,30,5,3,,1,2,4,18,2,,40,2,3,1,6,6,2,,853,,1,3,28,,3,,5,13,2,1779,4,1,3050,24,66,,7,,306,3,35,1,3,331,7,3,1,,,1,4,4,5,1,,5,135,30,5,4,,1,2,4,18,2,,40,2,3,,6,6,2
2017-11-09,,,,133,1,,,9,,,1,,,,,4,6,,621,2,,,1252,,5,8,,1,,3,,,,,41,,1,,,9,1,,,88,,1,,,1,,,,1,,,,,,,,1,3,,1,,,4,,,,,,5,4,27,1,,,,,,,,2,,,3,,5,5,4,,,10,1,,,,,849,,1,3,28,1,3,,5,13,2,1767,4,,3008,24,67,,7,,307,3,34,1,3,332,7,3,,,1,1,3,4,,5,,,5,134,30,5,3,,1,2,4,18,2,,40,2,3,1,6,6,2,,851,,1,3,28,1,3,,5,13,2,1783,4,1,3055,24,67,,7,,307,3,34,1,3,331,7,3,,,1,1,3,4,5,,1,5,134,30,5,4,,,2,4,18,2,,40,2,3,,6,6,2
2017-11-10,,,,82,,,1,9,,,1,,,,,5,8,,498,3,,,1068,,6,12,,,,3,,,,,35,,,,,5,,,1,69,,1,,,,1,,1,1,,,1,,,,,,3,,,1,,5,,,,,1,16,5,4,1,,,,,,,,,1,,,,10,3,3,,,9,1,1,,,,849,1,1,3,27,1,3,,5,13,2,1767,4,1,3010,24,67,,7,,306,3,33,,3,332,7,3,,,,,3,4,,5,1,1,4,134,30,5,3,,1,2,4,18,2,,40,2,3,,5,6,2,,851,1,1,3,27,1,3,,5,13,2,1783,4,,3057,24,67,,7,,306,3,33,,3,331,7,3,,,1,1,3,4,5,1,1,4,134,30,5,4,,,2,4,18,2,,40,2,3,,5,6,2
2017-11-11,,,,95,,,1,7,,,19,,,,,5,9,2,503,,,,1151,,136,70,,,,4,,,,,39,1,,,,5,1,,,48,,6,,,,,,,1,,,1,,,,2,,1,,,,,5,,,,2,1,14,2,1,1,,1,,,,2,,1,1,,,1,7,1,2,,,2,2,,,,,847,1,1,3,28,1,3,,5,13,2,1766,4,,3011,24,67,,7,,306,3,33,,3,332,7,3,1,,1,1,3,4,,5,,,4,134,30,5,3,,,2,4,18,2,,40,2,3,1,5,6,2,,848,1,1,3,28,1,3,,5,13,2,1782,4,1,3058,24,67,,7,,307,3,33,1,3,331,7,3,,,,,3,4,5,1,,4,134,30,5,4,,,2,4,18,2,,40,2,3,1,5,6,2
2017-11-12,,,,33,,,1,1,,,2,,,,,4,3,,197,,,,448,,2,4,,,,2,,,,,15,,,,,2,,,1,9,,7,,,,,,,1,,,,,,,,,,,,,,2,,,,,,10,1,3,,,,,,,,1,1,,,,,3,1,,,,1,,,,1,,846,1,,3,28,,3,,5,13,2,1766,4,1,3013,24,68,1,7,,307,3,33,,3,331,7,3,,,1,1,3,4,,5,1,,4,134,30,5,3,,1,2,4,18,2,,40,2,3,,5,6,2,,848,,1,3,28,,3,,5,13,2,1782,4,,3060,24,68,1,7,,307,3,33,,3,330,7,3,1,,,1,3,4,5,1,,4,134,30,5,4,,1,2,4,18,2,,40,2,3,1,5,6,2
2017-11-13,,,1,85,,,,1,,,2,,,,,3,12,1,255,2,,,676,,60,28,,,,1,,,,5,355,,,,,,,,,8,,15,1,,,,,,,,,,,,,1,,,,,,,6,,,,,1,5,3,2,3,,,,,,,1,,,,,,6,1,1,,,,,,,,,846,1,1,3,29,1,3,,5,13,2,1772,4,1,3005,25,69,,7,,306,3,33,1,3,331,7,3,,,1,,3,4,,5,,,4,134,30,5,3,,,2,4,18,2,,40,2,3,1,5,6,2,,848,1,1,3,29,1,3,,5,13,2,1788,4,,3052,25,69,,7,,306,3,33,,3,330,7,3,,,1,1,3,4,5,1,,4,134,30,5,4,,1,2,4,18,2,,40,2,3,,5,6,2
2017-11-14,,,,140,,,,2,,,1,2,1,,,4,14,1,241,2,,,526,,4,11,,,,1,,,1,6,1092,,,,,1,,,,19,,9,3,,,,,,1,,,,,,,,,,,,,,4,,,,,1,11,2,2,1,,,,,1,1,,1,,,,,4,2,5,,1,,1,,,1,,847,1,1,3,30,,3,,5,13,2,1775,4,1,3000,25,69,,7,,309,3,33,1,3,331,6,3,,,1,1,3,4,,5,,1,4,134,30,5,3,,,2,4,18,2,,40,2,3,,5,6,2,,850,,1,3,30,,3,,5,13,2,1789,4,1,3048,25,69,1,7,,308,3,34,1,3,331,6,3,,,1,1,3,4,5,,1,4,134,30,5,4,,,2,4,18,2,,40,2,3,,5,6,2
2017-11-15,,,,182,,,,6,,,,5,,,,5,8,2,362,3,,,929,,2,13,,,,2,,6,,6,519,,,,,2,,,,63,,3,,,,,,,,,,,,,,,,1,,,,,4,,,1,,1,23,2,1,1,,,,,3,,,5,,,,,8,1,2,,1,2,2,2,,,,847,1,,3,30,,3,,5,13,2,1773,4,,3004,25,69,,7,,309,3,34,1,3,332,6,3,1,,1,,3,4,,5,1,,4,133,30,5,3,,1,2,4,18,2,,40,2,3,1,5,6,2,,849,,,3,30,,3,,5,13,2,1788,4,,3053,25,69,1,7,,309,3,34,1,3,331,6,3,1,,1,1,3,4,5,1,,4,133,30,5,4,,1,2,4,18,2,,40,2,3,,5,6,2
2017-11-16,,,,109,,,1,8,,,1,4,1,1,,5,6,,426,2,1,,997,,4,12,,,,2,,4,,,70,,,,,3,,,1,69,,2,,,,,,,,1,,,,,,2,,1,,,,,4,,,1,,1,41,2,1,3,,,,,3,,1,4,,,,,6,1,7,,,1,1,,,,,846,,,3,30,1,3,,5,13,2,1773,4,,3006,25,69,,6,,310,3,34,1,3,330,6,3,1,,1,1,3,4,,5,1,,4,133,30,5,3,,1,2,4,18,2,,40,2,3,,5,6,2,,848,,1,3,30,1,3,,5,13,2,1789,4,,3054,25,69,,6,,310,3,34,,3,329,6,3,,,1,1,3,4,5,,1,4,133,30,5,4,,1,2,4,18,2,,40,2,3,1,5,6,2
