Date,"Daily Total Frequency Distribution - 1","Daily Total Frequency Distribution - 2","Daily Total Frequency Distribution - 3","Daily Total Frequency Distribution - 4","Daily Total Frequency Distribution - 5","Daily Total Frequency Distribution - 6-10","Daily Total Frequency Distribution - 11-20","Daily Total Frequency Distribution - 21+"
,"Daily: The number of people your Page reached broken down by how many times people saw any content about your Page. (Unique Users)",,,,,,,
2017-10-08,4202,106,40,14,13,23,11,1
2017-10-09,965,350,147,33,47,37,9,
2017-10-10,5588,2220,690,361,224,215,27,2
2017-10-11,8738,4674,1836,999,372,616,72,9
2017-10-12,3612,1776,1771,473,116,386,25,2
2017-10-13,2507,518,234,120,73,103,21,2
2017-10-14,1486,263,149,125,70,87,12,2
2017-10-15,333,119,155,116,33,71,11,1
2017-10-16,599,155,122,112,58,73,16,
2017-10-17,117,49,26,15,6,8,3,
2017-10-18,178,78,43,44,17,50,17,
2017-10-19,345,97,35,33,23,24,3,
2017-10-20,1030,190,76,56,38,77,32,2
2017-10-21,401,137,70,40,26,55,17,1
2017-10-22,238,79,23,11,21,28,7,2
2017-10-23,116,35,16,14,5,12,,
2017-10-24,391,82,31,26,10,34,10,1
2017-10-25,267,109,23,27,7,14,3,
2017-10-26,132,71,33,24,12,13,2,
2017-10-27,98,65,24,15,9,16,6,
2017-10-28,94,52,13,11,8,8,3,1
2017-10-29,117,60,29,28,11,22,6,
2017-10-30,314,59,34,10,10,18,5,1
2017-10-31,2311,182,65,34,21,50,9,2
2017-11-01,6895,411,88,38,21,49,13,3
2017-11-02,7000,278,53,27,8,22,7,1
2017-11-03,1120,188,68,33,24,44,10,3
2017-11-04,1036,139,50,25,10,23,2,3
2017-11-05,1287,117,57,47,23,51,11,3
2017-11-06,8709,343,119,90,56,96,21,8
2017-11-07,2893,189,106,77,42,76,18,6
2017-11-08,1664,233,97,80,42,1304,52,10
2017-11-09,1757,201,92,57,42,94,29,6
2017-11-10,1303,235,115,65,50,82,25,6
2017-11-11,1507,304,138,88,47,62,11,4
2017-11-12,465,154,57,29,23,20,9,4
2017-11-13,1197,163,75,31,27,43,11,2
2017-11-14,1655,210,82,52,33,70,23,3
2017-11-15,1436,431,124,78,37,65,13,1
2017-11-16,1067,437,121,59,31,84,16,3
2017-11-17,1332,270,75,39,31,56,8,
2017-11-18,1587,255,86,29,17,31,5,1
2017-11-19,943,138,34,13,6,12,6,1
2017-11-20,793,258,83,49,27,38,6,4
2017-11-21,1744,334,119,59,31,68,19,6
2017-11-22,2142,274,109,66,39,71,11,4
2017-11-23,707,182,94,56,29,62,12,4
2017-11-24,521,138,81,55,40,50,10,3
2017-11-25,153,49,23,17,4,10,2,1
2017-11-26,482,129,49,19,10,16,3,2
2017-11-27,558,102,41,20,9,7,1,1
2017-11-28,1621,264,139,68,45,68,14,1
2017-11-29,1621,268,107,70,31,52,17,1
2017-11-30,1598,217,102,68,31,63,8,2
2017-12-01,511,135,59,46,27,65,12,4
2017-12-02,972,159,76,45,27,45,14,1
2017-12-03,1339,115,28,11,5,11,2,
2017-12-04,665,168,91,59,25,54,12,
2017-12-05,386,130,92,51,34,55,14,2
2017-12-06,837,233,82,54,35,48,8,3
2017-12-07,673,182,87,51,26,42,11,3
2017-12-08,738,162,84,53,35,56,18,2
2017-12-09,649,132,50,31,22,32,5,3
2017-12-10,112,31,15,7,4,4,1,
2017-12-11,151,70,36,13,12,24,6,
2017-12-12,206,101,44,30,20,31,6,2
2017-12-13,152,74,45,29,24,49,13,1
2017-12-14,322,109,76,31,26,41,11,5
2017-12-15,666,83,45,27,18,22,8,2
2017-12-16,709,71,26,9,4,15,3,1
2017-12-17,148,53,25,15,5,6,1,1
2017-12-18,266,89,57,31,24,28,4,
2017-12-19,1711,251,133,76,71,100,30,4
2017-12-20,4341,318,107,57,31,44,7,1
2017-12-21,965,143,85,35,30,30,2,1
2017-12-22,1854,207,88,58,38,63,26,4
2017-12-23,977,92,37,16,7,14,1,
2017-12-24,82,15,9,5,,4,,1
2017-12-25,289,118,42,18,12,15,1,
2017-12-26,1672,194,87,65,34,84,28,5
2017-12-27,2643,289,116,76,52,94,44,5
2017-12-28,1237,202,96,60,32,46,14,4
2017-12-29,2488,332,101,49,35,60,13,3
2017-12-30,1976,124,29,15,8,9,4,1
2017-12-31,776,66,23,8,10,9,3,1
2018-01-01,1101,143,65,30,15,29,6,
2018-01-02,1925,285,83,38,21,34,5,3
2018-01-03,1126,122,45,30,18,38,9,1
2018-01-04,3733,275,82,59,26,79,25,2
2018-01-05,3254,324,101,69,41,82,25,3
2018-01-06,770,117,52,27,16,29,8,1
