Date,"Weekly Reach by Country - AE","Weekly Reach by Country - AF","Weekly Reach by Country - AR","Weekly Reach by Country - AT","Weekly Reach by Country - AU","Weekly Reach by Country - BA","Weekly Reach by Country - BD","Weekly Reach by Country - BE","Weekly Reach by Country - BH","Weekly Reach by Country - BN","Weekly Reach by Country - BR","Weekly Reach by Country - CA","Weekly Reach by Country - CD","Weekly Reach by Country - CH","Weekly Reach by Country - CL","Weekly Reach by Country - CN","Weekly Reach by Country - CO","Weekly Reach by Country - DE","Weekly Reach by Country - DK","Weekly Reach by Country - DZ","Weekly Reach by Country - EG","Weekly Reach by Country - ES","Weekly Reach by Country - ET","Weekly Reach by Country - FI","Weekly Reach by Country - FR","Weekly Reach by Country - GB","Weekly Reach by Country - GH","Weekly Reach by Country - GN","Weekly Reach by Country - GR","Weekly Reach by Country - HK","Weekly Reach by Country - ID","Weekly Reach by Country - IE","Weekly Reach by Country - IL","Weekly Reach by Country - IN","Weekly Reach by Country - IQ","Weekly Reach by Country - IR","Weekly Reach by Country - IT","Weekly Reach by Country - JO","Weekly Reach by Country - JP","Weekly Reach by Country - KE","Weekly Reach by Country - KH","Weekly Reach by Country - KR","Weekly Reach by Country - KW","Weekly Reach by Country - KZ","Weekly Reach by Country - LB","Weekly Reach by Country - LK","Weekly Reach by Country - LV","Weekly Reach by Country - MA","Weekly Reach by Country - MC","Weekly Reach by Country - MM","Weekly Reach by Country - MX","Weekly Reach by Country - MY","Weekly Reach by Country - MZ","Weekly Reach by Country - NG","Weekly Reach by Country - NL","Weekly Reach by Country - NO","Weekly Reach by Country - NP","Weekly Reach by Country - NZ","Weekly Reach by Country - OM","Weekly Reach by Country - PE","Weekly Reach by Country - PH","Weekly Reach by Country - PK","Weekly Reach by Country - PS","Weekly Reach by Country - QA","Weekly Reach by Country - RO","Weekly Reach by Country - RS","Weekly Reach by Country - RU","Weekly Reach by Country - SA","Weekly Reach by Country - SD","Weekly Reach by Country - SE","Weekly Reach by Country - SG","Weekly Reach by Country - SO","Weekly Reach by Country - SS","Weekly Reach by Country - SY","Weekly Reach by Country - TD","Weekly Reach by Country - TH","Weekly Reach by Country - TJ","Weekly Reach by Country - TN","Weekly Reach by Country - TR","Weekly Reach by Country - TW","Weekly Reach by Country - TZ","Weekly Reach by Country - UG","Weekly Reach by Country - US","Weekly Reach by Country - VN","Weekly Reach by Country - YE","Weekly Reach by Country - ZA","Weekly Reach by Country - ZM"
,"Weekly: Total Page Reach by user country. (Unique Users)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-08,1885,8,40,,49,,99,,1071,,18,54,11,9,,,332,26,,21,260,28,,,26,320,,,,,175,,,1258,20,7,10,40,,,,,11,,29,,,15,,,185,82,,18,11,,16,,12,,65,131,,13,34,,,8547,10,,,,,21,,8,,9,19,,,,182,,10,9,
2017-10-09,1482,,25,,72,,97,7,1010,,36,47,12,8,,,175,41,,20,241,21,8,,25,269,,,,,382,,,1222,23,8,11,40,,,,,8,,25,,,15,,,87,159,,15,14,,16,,15,,76,123,7,21,30,,,8644,10,,,,,20,,65,,,20,,,,141,,10,,
2017-10-10,1287,,,,406,,112,15,875,,316,52,15,,,30,51,62,,,599,32,54,,40,1091,,,,,1687,,,3698,18,19,26,33,18,25,15,,,,19,,,,,26,33,950,,61,19,,30,,32,,160,131,,63,18,,,7891,,,43,,,18,,423,,,27,20,,,147,,,19,
2017-10-11,1246,,,,875,,147,29,737,,580,113,,,,71,,107,22,,1066,58,143,,74,3358,,,,27,3399,,,8441,,35,70,33,34,42,34,24,25,,24,,,,,49,,2034,,138,33,,41,,77,,312,182,,138,31,,,6556,,,89,,,,,863,,,48,43,,,256,32,,38,
2017-10-12,1132,,,,1059,,159,37,656,,613,183,,,,83,,148,,,1170,71,187,,104,5168,,,,29,3973,,,10560,,36,80,38,45,49,39,26,30,,30,,,,,53,,2326,,153,44,,42,,84,,371,202,,151,33,,,6070,,,109,,25,,,958,,,71,48,,,340,34,,49,
2017-10-13,1036,,,,1107,,129,39,576,,620,227,,,,86,,168,27,,1203,73,197,,117,6437,,,,29,4129,,,10894,,36,82,38,49,52,38,26,31,,29,,,,,52,,2361,,150,47,,36,,86,,377,203,,150,35,,,5409,,,111,,,,,968,,,85,49,,,384,32,,55,
2017-10-14,1035,,,,1120,,117,40,469,,621,242,,,,87,,177,27,,1218,75,200,,126,7071,,,,29,4175,,,11120,,37,82,30,51,52,37,26,32,,29,,,,,51,,2376,,151,49,,36,,88,,374,188,,151,35,,,4459,,,113,,,,,970,,,89,49,,,396,32,,55,
2017-10-15,1034,,,,1127,,93,39,125,,623,235,,,,87,,171,27,,1219,75,201,,125,7101,,,,29,4179,,,11257,,36,84,29,51,52,37,26,30,,29,,,,,51,,2374,,147,51,,32,,88,,371,149,,152,35,,,968,,,112,,,,,970,,,88,49,,,395,32,,55,
2017-10-16,1038,,,,1113,,99,36,157,,618,231,,,,80,,158,29,,1204,74,194,,120,7120,,,,28,4086,,,11203,,35,82,30,48,51,35,26,29,,31,,,,,48,,2335,,145,49,,31,,85,,364,147,,149,35,,,1157,,,111,,,,,943,,,87,48,,,391,31,,54,
2017-10-17,884,,,,861,,83,30,140,,433,217,,,,63,,136,20,,861,58,155,,106,6519,,,,24,3170,,,9138,,23,67,28,37,33,26,19,24,,31,,,,,32,,1750,,116,42,,19,,65,,303,131,,112,31,,,1010,,,83,,,,,701,,,73,36,,,358,22,,47,
2017-10-18,538,,,,344,,37,15,89,,91,165,,,,18,,91,,9,284,30,67,,72,4423,,,,8,1143,8,,3946,,,23,23,22,13,8,,12,,27,,,,,8,,517,,33,29,,,8,22,,120,72,,28,17,,,460,,9,34,,,9,,166,,,53,12,,,248,,,27,
2017-10-19,476,,,,105,,19,6,106,,35,104,,9,,7,,59,,6,151,13,19,,46,2748,,,5,,404,,,1510,5,,5,22,11,6,,,9,,24,,,8,,,5,130,,11,16,,,,12,,57,44,,8,11,,9,537,,7,8,,,8,,15,,,31,,,,181,,,14,
2017-10-20,574,,,,62,,22,4,162,,27,48,,14,,,,56,,7,131,10,15,,33,1266,,,,5,170,,,1143,4,6,,37,6,,,,6,,55,,,7,,,5,57,,11,13,,4,,8,,29,34,,9,23,,13,969,,5,7,,,9,,11,4,,14,,,,168,,,9,
2017-10-21,599,,,,47,,21,7,161,,28,33,4,15,,,,59,,6,105,13,13,,26,310,,,,6,61,,,775,4,4,,41,,4,,,6,,88,,,9,,,5,25,,9,10,,4,,8,,22,30,,9,24,,12,963,,4,6,,,9,,8,,,8,,,,180,,,9,
2017-10-22,598,,,,44,,20,8,134,,21,36,5,16,,,,63,,5,94,13,12,,30,283,,,4,7,41,,,476,,,,42,,4,,,5,,102,,,10,,,5,21,,9,8,,4,5,9,,20,29,,10,26,,14,872,,,7,,,9,,6,5,,9,,,,202,,,11,
2017-10-23,553,,,5,34,,14,7,81,,12,35,4,15,,,,67,,5,74,12,12,,33,251,,,4,7,26,,,169,,,4,40,,,,,4,,100,,,9,,,4,12,,9,7,,,6,9,,18,27,,7,26,,14,578,,,8,,,4,,4,5,,7,,,,193,,,12,
2017-10-24,592,,,5,34,,20,7,112,,11,46,6,15,,,,68,,5,76,11,13,,33,265,,,4,7,33,,,169,,,,39,,,,,,,99,,,11,,,5,13,,9,8,,4,6,9,,19,35,,8,26,,14,690,,,8,,,4,,5,5,,7,,,,211,,5,13,
2017-10-25,603,,,5,36,,20,7,120,,11,49,7,15,,,,66,,21,85,11,13,,39,263,,,5,7,32,,,162,,,7,39,,,,,,,102,,,12,,,5,14,,9,7,,4,7,8,,19,35,,10,24,,11,789,,,7,,,6,,5,,,8,,,,211,,6,15,
2017-10-26,582,,,5,36,,20,8,103,,10,45,7,15,,,,64,,40,81,11,9,,39,258,,,,6,29,,,158,,,7,38,,,,,4,,104,,,10,,,4,12,,9,7,,,7,8,,19,32,,10,24,,9,687,,,7,,,6,,6,,7,8,,,,205,,6,13,
2017-10-27,433,,,4,25,,11,8,50,,10,37,5,8,,,4,40,,41,54,10,,,39,191,,,4,,24,,,122,,,8,25,,,,,4,,89,,,9,,,,10,,7,7,,,5,7,,12,24,,6,10,,5,248,,4,4,,,5,,,,6,6,4,,,164,,4,9,
2017-10-28,338,,,,19,,10,5,49,,4,28,5,6,,,3,21,,46,40,8,,,30,142,,,5,,18,,,91,,,6,20,,,,,3,,50,,,7,,,,8,,4,6,,,5,4,,8,20,,5,7,,3,243,,4,3,,,5,,3,,6,3,3,,,128,,4,7,
2017-10-29,312,,,,12,,10,5,46,,4,25,4,6,,2,,14,,57,52,5,,,31,117,,,4,,12,,,63,,,7,18,,,,,3,,35,,,12,,,,7,,5,7,,,,5,,4,18,,4,3,,,243,2,4,2,,,6,10,3,,7,3,3,,,109,,4,4,
2017-10-30,307,,,,10,,12,4,97,,3,24,4,7,,,2,8,,63,60,7,,,31,102,,,4,,13,,,56,,,7,18,,2,,,2,,37,,,15,,,,7,,6,7,,2,,5,,4,18,,4,,,,347,,4,,,,8,12,5,,10,2,3,,,104,,4,4,2
2017-10-31,340,,,3,19,,42,5,328,,5,15,4,9,,,,9,3,68,80,9,7,,38,269,,,5,,29,,3,81,,3,8,21,,,,,4,,36,3,,14,,,,13,,4,6,,,,5,,13,27,,,,,,1752,8,,,,,11,13,7,,11,4,,,,104,,10,5,
2017-11-01,457,8,,,23,,168,6,903,,11,17,4,9,,,,11,,67,72,18,20,,45,422,,,5,,43,,,188,,,10,20,,,,,6,,34,,,17,,,1488,21,,5,6,,7,,9,,27,103,,,,,,5375,11,24,4,,,12,16,9,,12,9,,,,139,,16,7,
