Date,"Weekly Reach by Country - AE","Weekly Reach by Country - AF","Weekly Reach by Country - AR","Weekly Reach by Country - AT","Weekly Reach by Country - AU","Weekly Reach by Country - BA","Weekly Reach by Country - BD","Weekly Reach by Country - BE","Weekly Reach by Country - BH","Weekly Reach by Country - BN","Weekly Reach by Country - BR","Weekly Reach by Country - CA","Weekly Reach by Country - CD","Weekly Reach by Country - CH","Weekly Reach by Country - CL","Weekly Reach by Country - CN","Weekly Reach by Country - CO","Weekly Reach by Country - DE","Weekly Reach by Country - DK","Weekly Reach by Country - DZ","Weekly Reach by Country - EG","Weekly Reach by Country - ES","Weekly Reach by Country - ET","Weekly Reach by Country - FI","Weekly Reach by Country - FR","Weekly Reach by Country - GB","Weekly Reach by Country - GH","Weekly Reach by Country - GN","Weekly Reach by Country - GR","Weekly Reach by Country - HK","Weekly Reach by Country - ID","Weekly Reach by Country - IE","Weekly Reach by Country - IL","Weekly Reach by Country - IN","Weekly Reach by Country - IQ","Weekly Reach by Country - IR","Weekly Reach by Country - IT","Weekly Reach by Country - JO","Weekly Reach by Country - JP","Weekly Reach by Country - KE","Weekly Reach by Country - KH","Weekly Reach by Country - KR","Weekly Reach by Country - KW","Weekly Reach by Country - KZ","Weekly Reach by Country - LB","Weekly Reach by Country - LK","Weekly Reach by Country - LV","Weekly Reach by Country - MA","Weekly Reach by Country - MC","Weekly Reach by Country - MM","Weekly Reach by Country - MX","Weekly Reach by Country - MY","Weekly Reach by Country - MZ","Weekly Reach by Country - NG","Weekly Reach by Country - NL","Weekly Reach by Country - NO","Weekly Reach by Country - NP","Weekly Reach by Country - NZ","Weekly Reach by Country - OM","Weekly Reach by Country - PE","Weekly Reach by Country - PH","Weekly Reach by Country - PK","Weekly Reach by Country - PS","Weekly Reach by Country - QA","Weekly Reach by Country - RO","Weekly Reach by Country - RS","Weekly Reach by Country - RU","Weekly Reach by Country - SA","Weekly Reach by Country - SD","Weekly Reach by Country - SE","Weekly Reach by Country - SG","Weekly Reach by Country - SO","Weekly Reach by Country - SS","Weekly Reach by Country - SY","Weekly Reach by Country - TD","Weekly Reach by Country - TH","Weekly Reach by Country - TJ","Weekly Reach by Country - TN","Weekly Reach by Country - TR","Weekly Reach by Country - TW","Weekly Reach by Country - TZ","Weekly Reach by Country - UG","Weekly Reach by Country - US","Weekly Reach by Country - VN","Weekly Reach by Country - YE","Weekly Reach by Country - ZA","Weekly Reach by Country - ZM"
2017-11-02,616,11,,,26,,258,,1589,,12,20,,8,,,,13,,63,74,20,29,,45,465,,,,,64,,,254,,,12,18,,,,,9,,35,6,,19,,,2622,24,,12,6,,15,24,12,,98,147,,7,,,,8935,13,25,,,,13,17,8,,14,15,,10,,140,,19,9,
2017-11-03,656,12,34,,31,,258,,1592,,19,23,,,10,,14,18,,62,81,282,29,,48,523,,,,,71,,,284,140,,17,18,,,,,13,,33,,,21,,,2654,26,,13,,,16,28,15,20,98,151,,,,,,8970,13,26,12,,,16,18,,,161,179,,10,,168,,17,,
2017-11-04,699,13,41,,41,,258,,1592,,19,31,,,12,,16,20,,61,91,372,29,,53,645,,,,,73,,,296,435,,18,21,,,,,16,,37,,,21,,,2659,28,,14,12,,16,28,18,21,100,154,,,,,,8978,14,28,12,,,16,18,,,248,306,,,,187,,17,,
2017-11-05,704,14,41,,43,,253,,1620,,18,31,,,12,,18,22,,45,85,398,29,,48,659,,,,,71,,,320,1036,,14,24,,,,,69,,28,,,17,,,2659,28,,15,11,,16,28,40,20,104,164,,,,,,9118,15,30,12,,,15,15,,,473,306,,,,185,,17,,
2017-11-06,813,441,44,,46,,258,,1661,,20,42,,,,,21,36,,26,100,440,30,,55,787,,,,,77,,,376,5513,,17,28,,,,,145,,26,,,16,,,2664,33,,18,15,,16,28,83,21,144,875,,15,,,,9443,15,34,16,,,14,,,,2299,317,,,,241,,18,14,
2017-11-07,569,678,13,,31,,51,,242,,17,32,,,,6,12,25,22,9,77,429,,,29,364,,,6,,33,7,,318,5708,,14,24,,,,,142,,24,,,7,,,17,19,,14,13,,7,,75,,59,1238,7,12,,,,1237,,9,9,,,,,6,,2430,143,,,,195,,,9,
2017-11-08,781,689,14,,31,,161,,303,,75,34,,,,,13,27,27,16,106,435,10,,32,407,12,13,,,146,,,1246,5718,,16,32,,13,,,146,,30,,,22,,,23,26,10,42,16,,23,,77,,79,1332,,14,,,,2043,,,12,,,,,21,,2444,146,,,,214,,,13,
2017-11-09,964,695,16,,33,,185,,336,,77,39,,,,,14,35,30,21,116,436,12,,35,450,13,13,,,178,,,1360,5722,,18,34,,13,,,148,,36,,,28,,,24,40,,45,17,,24,,77,,94,1357,,15,46,,,2948,,,13,,,,,21,,2448,147,,,,236,,,15,
2017-11-10,1118,696,17,,36,,206,,342,,82,42,,,,,15,38,32,24,130,442,15,,36,474,14,13,,,201,,,1475,5725,,18,36,,14,,,151,,46,,,31,,,25,48,,50,19,,29,,78,,102,1375,,17,59,,,3437,,,18,,,,,25,,2451,149,,,,255,,,20,
2017-11-11,1803,698,,,30,,214,,339,,87,42,,,,,18,37,35,25,148,536,18,,42,462,16,13,,,213,,,1595,5449,,20,34,,14,,,149,,45,,,33,,,20,51,,49,18,,30,,78,,102,1387,13,18,60,,,3443,,,20,,,,,25,,2361,27,,,,270,,,21,
2017-11-12,1830,698,,,28,,217,,316,,88,54,,,,,17,37,36,25,176,503,19,,37,455,14,13,,,214,,,1626,4865,,23,33,,16,,,97,,47,,,33,,,19,52,,48,20,,29,,59,,102,1397,13,19,62,,,3311,,,22,,,,,25,,2140,31,,,,313,,,23,
2017-11-13,2024,273,,,25,,210,,225,,88,55,15,,,,14,37,36,23,193,541,18,,299,341,13,,,,209,,,1616,402,,27,30,,16,,,23,,44,,,33,,,17,49,,46,18,,30,,18,,73,702,,15,62,,,2895,,,20,,,,,24,,437,22,,13,,285,,,21,
2017-11-14,1932,25,,,27,,189,,149,,82,51,15,,,,,42,28,29,200,311,18,,967,334,14,12,,,200,,,1545,53,,27,30,,15,,,15,,42,,,35,,,15,47,,41,18,,26,,15,,62,203,,14,62,,,2414,,,18,12,,,,25,,668,21,,,,254,,,21,
2017-11-15,1789,26,,,32,,106,,168,,49,72,17,,,,12,48,26,29,218,306,101,,970,300,,,,,124,,,916,79,,29,29,,21,,,12,,39,,,29,,,14,79,,23,17,,13,,15,,49,155,,25,61,,,1703,,20,16,19,,,,15,,1195,23,,,,274,,,24,
2017-11-16,1693,22,,,35,,104,,207,,79,70,17,,,,12,43,25,31,244,306,114,,967,229,,,,,121,,,927,84,,30,38,,22,,,14,,40,,,34,,,15,71,,24,16,,16,,16,,47,159,,36,22,,,955,,22,15,28,,,,17,,1205,25,,,,267,,,23,
2017-11-17,1766,24,,,37,,98,,388,,89,73,17,,,,11,40,21,29,249,303,115,,968,202,10,,,,107,,10,871,98,,30,43,,22,,,15,,32,,,33,,,14,70,,23,14,,14,,15,,46,163,,40,,,,543,,21,,29,,,,14,,1211,25,,,,254,,,21,
2017-11-18,1440,23,,,34,,107,,732,,99,71,18,,,,,39,18,28,230,90,114,9,961,163,9,,,,107,,,781,109,,25,41,,24,,,14,,38,,,32,,,16,65,,23,12,,16,,15,,45,148,,47,,,,652,,21,,30,,,,13,,1217,27,,,10,223,,,19,
2017-11-19,1537,24,,,33,,108,,793,,109,69,17,,,,10,37,20,29,209,91,114,9,960,146,,,,,106,,,781,115,,23,48,,24,,,14,,43,,,34,,,21,65,,27,12,,16,,18,,46,155,,49,,,,707,,21,,33,,,,15,,1216,29,,,11,187,,,17,
2017-11-20,1291,24,,,32,,107,,814,,116,61,17,,,,11,33,17,33,179,12,113,9,693,140,,,,,115,,,803,117,,16,46,,23,,,13,,43,8,,36,,,23,65,,25,8,,17,,17,,39,165,,49,,,,728,,21,,33,,,,15,,1145,29,,,,176,,,16,
2017-11-21,1441,26,,,30,,114,,1463,,120,59,18,,,,10,27,13,30,177,12,113,9,29,150,8,,,,119,,,802,111,,10,43,,22,,,14,,42,,,33,,,23,67,,26,9,,18,,16,,36,165,,50,,,,726,,20,,35,,,,15,,658,25,,,,182,,,13,
2017-11-22,1512,24,,,28,,115,,3005,,121,50,16,,,,10,22,10,38,155,12,44,,29,157,,,,,116,,,800,105,,,41,,14,,,14,,40,8,,31,,,25,37,,27,10,,17,,17,,33,168,,47,,,,708,,10,,23,,,12,14,,144,24,,8,,174,,,10,
2017-11-23,1554,24,,,20,,125,,3048,,118,46,14,8,,,10,25,,73,159,12,19,,28,163,7,,,,108,,,767,98,,,40,,11,,,15,,42,8,,28,,,25,33,,28,9,,18,,17,,31,177,,45,,,,698,,,,16,,,14,15,,140,24,,8,,174,,,8,
2017-11-24,1443,24,,,16,,119,,2938,,105,45,11,11,,,10,22,,89,139,14,12,,30,172,8,,,,100,,,730,83,,8,38,,10,,,14,,43,10,,28,,,24,28,,28,9,,20,,16,,29,163,,42,,,,654,,,,12,,,16,13,,131,18,,,,189,,,8,
2017-11-25,1152,23,,,14,,98,,2573,,96,41,9,11,,,10,21,,89,134,13,6,,30,163,8,,,,88,,,670,67,,8,36,,8,,,11,,34,9,,29,,,22,27,,25,8,,17,,16,,23,152,,33,,,,516,,,,9,,,16,14,,118,16,,7,,186,,,,
2017-11-26,1021,20,,,14,,95,,2512,,77,36,9,11,,,9,21,,88,144,12,6,,30,173,8,,,,81,,,671,56,,8,30,,6,,,11,,28,9,,30,,,20,24,,22,7,,17,,13,,19,137,,28,,,,391,,,,,,,16,14,,114,11,,6,,188,,,7,
2017-11-27,1057,18,,,37,,96,,2509,,60,39,8,11,,,7,20,,85,149,12,,,27,181,7,,,,62,,,641,33,,8,26,,,,,8,,27,8,,30,,,18,21,,18,7,,13,,11,,21,111,,23,5,,,291,,,,7,,,16,12,,70,9,,5,,174,,,8,
2017-11-28,1319,14,,,39,,97,,2252,,37,43,5,10,,,,20,,86,151,11,,,25,160,5,,,,52,,,655,14,,8,28,,,,,6,,26,5,,25,,,9,22,,17,8,,11,,8,,29,91,5,16,5,,,215,,,6,5,,,15,12,,44,8,,,,200,,,12,
2017-11-29,1761,14,98,,39,,122,,742,,39,42,6,10,,,31,23,,90,157,22,5,,28,133,6,,,,63,,,853,19,,11,37,,,,,9,,23,,,28,,,62,23,,20,7,,11,,9,,38,90,6,15,,,,222,,,11,,,,5,15,,48,10,,,,197,,,11,
2017-11-30,2248,14,192,,40,,127,6,623,,37,50,6,8,,,179,43,,62,155,27,,,23,145,8,,,,65,,,960,20,,10,40,,,,,13,,24,6,,29,,,184,27,,22,9,,15,,8,,39,92,,15,6,,,204,,,11,,,,,12,,42,18,,,,223,,,12,
2017-12-01,2323,12,192,,43,,127,6,615,,39,55,8,,,,180,50,,39,153,27,,,22,148,6,,,,63,,,980,18,,10,36,,6,,,11,,21,,,28,,,185,30,,24,9,,17,,11,,38,96,,12,7,,,169,,,10,,,7,,11,,41,20,,,,218,,,14,
2017-12-02,2432,12,388,,44,,132,7,617,,38,66,11,7,,,313,54,7,46,161,29,8,,24,158,,,,,63,,,1014,21,,11,42,,,,,11,,23,,,28,,,309,31,,25,9,,17,,13,,38,110,,17,,,,172,,,10,,,7,,12,,46,20,,,,238,,,15,
2017-12-03,3341,10,389,,44,,127,7,614,,35,70,12,,,,317,57,10,46,147,29,9,,37,160,,,,,58,,,959,21,,9,39,,6,,,11,,24,,,26,,,310,27,,24,9,,15,,13,,36,103,,18,,,,173,,,10,,,7,,11,,40,20,,,,236,,,13,
2017-12-04,3413,10,389,,35,,127,,570,,35,68,12,,,,319,62,11,50,132,30,9,,42,170,7,,,,57,,,962,25,,11,47,,10,,,10,,26,,,27,,,310,44,,25,8,,15,,13,,37,103,,18,,,,176,,,10,,,7,,7,,34,22,,,,243,,,13,
2017-12-05,3068,7,389,,37,,114,,131,,27,66,11,8,,,321,60,11,48,106,31,8,,42,205,,,,,51,,,847,27,,10,48,,10,,,9,,25,,,24,,,310,42,,22,7,,17,,12,,27,92,,16,,,,76,,,10,,,6,,6,,27,21,,,,216,,,11,
2017-12-06,2488,8,292,,48,15,114,13,19,,26,87,11,9,,,299,64,16,47,115,23,7,,81,247,,,,,246,,,681,25,,10,41,,12,,,8,,26,,,38,,,256,73,,26,12,,16,,13,,22,119,,20,,,,80,,,11,,,,,,,40,30,,,,277,,,14,
2017-12-07,1914,,202,,51,31,124,17,17,15,27,85,12,14,,,152,53,17,50,119,16,,,114,253,,,,,318,,,604,25,,11,56,,14,,,,,26,13,,51,,,136,80,,30,12,,12,,15,,23,148,,19,,,,83,,,15,,,,,9,,44,38,,,,253,,,14,
2017-12-08,1954,,210,,57,32,125,17,18,15,24,79,12,25,,,151,43,18,73,127,19,,,129,270,,,,,331,,9,561,24,,17,78,,13,,,,,36,13,,56,,,162,81,,30,11,,,,12,,26,138,,19,,9,,87,,,15,,,,,,,47,37,,,,249,,,14,
2017-12-09,2071,,12,,59,33,122,17,15,15,22,78,11,27,,,12,40,16,72,121,19,,,133,277,,,,,338,,,534,21,,16,78,,15,,,,,36,13,,59,,,42,82,,32,11,,,,11,,27,138,,18,,9,,86,,,14,,,,10,,,44,39,,,,237,,,14,
2017-12-10,1098,,12,9,59,35,119,17,15,15,21,69,12,29,,,,35,13,72,117,19,,,122,266,,,,,341,,,529,22,,17,79,,15,,,,,33,13,,59,,,41,83,,32,11,,,,11,,26,140,,16,,9,,83,,,13,,,,10,,,44,39,,,,225,,,15,
2017-12-11,872,,12,9,54,35,115,17,16,15,21,67,13,28,,,,31,12,67,105,18,,,117,244,,,,,342,,,465,15,,15,69,,11,,,,,32,12,,61,,,40,69,,32,11,,,,11,,22,138,,14,,9,,72,,,13,,,,10,,,40,36,,,,207,,,14,
2017-12-12,849,,13,9,49,35,108,17,15,15,20,67,14,28,,,,30,12,67,105,16,,,113,214,,,,,339,,,412,12,,14,64,,11,,,,,27,12,,60,,,41,64,,31,11,,,,11,,22,141,,14,,9,,62,,,13,,,,10,,,39,35,,,,201,,,15,
2017-12-13,840,8,13,7,33,21,93,12,11,9,13,37,13,26,,,,23,,61,73,14,,,79,164,,,,,142,,,362,11,,11,59,,9,,,,,24,8,,47,,,40,33,,23,7,6,,,9,,16,112,,8,,,,47,,,10,,,,9,,,26,27,,,,113,,,11,
2017-12-14,828,7,13,6,28,,72,6,8,,8,33,14,23,,,7,14,,62,67,13,,,43,193,,,,,47,,,317,14,,11,44,,7,,,,,26,,,35,,,39,19,,16,,,5,,7,,12,68,,7,,,4,35,,,4,6,,,7,6,,19,10,,,,97,,,7,
2017-12-15,555,7,136,4,18,,66,,9,,10,38,11,11,,,220,13,,42,54,13,,,28,166,4,,,,32,6,,300,14,,6,16,,6,,,,,18,,,31,,,106,14,,14,5,,,,6,,8,65,,6,,,,29,,,4,6,,,5,6,,14,9,,,,83,,,8,
2017-12-16,239,6,323,,10,,59,,8,,10,38,10,10,,,430,12,,37,47,8,,,17,146,4,3,,,22,5,,283,14,,5,13,,5,,,3,,14,,,30,,,204,12,,14,5,,5,,4,,7,57,,4,,,,24,,,,5,,,,4,,12,6,,,,71,,,7,
2017-12-17,234,6,323,,9,,58,,8,,11,38,9,7,,,430,11,,39,50,8,,,14,144,4,,,,20,6,,292,14,,5,12,,5,,,,,14,,,37,,,205,9,,14,5,,5,,5,,7,53,,4,,,4,23,,,4,5,,,,4,,12,6,,,,72,,,6,
2017-12-18,262,6,323,,9,,55,,8,,12,40,9,6,,,431,11,4,40,58,8,,,14,163,,,,,21,6,,311,15,,6,11,,5,,,,,13,,,36,,,205,11,,14,6,,8,,4,,8,51,,4,,,4,25,,,4,5,,,,6,,11,6,,,,78,,,6,
2017-12-19,386,5,329,,26,,79,,185,,19,43,8,10,,,455,37,,53,87,10,,,16,197,,,,,31,7,,461,18,,10,14,,6,,,125,16,18,,,41,,,230,12,,16,10,,9,,5,,12,59,,120,,,,668,,,5,6,,,,8,,16,20,,,,106,,,6,
2017-12-20,1014,,467,,36,,91,7,363,,22,54,8,14,,,844,43,,59,105,31,,,39,243,,,,,36,8,,569,19,,10,431,10,8,,,128,17,174,,,44,,,508,13,,16,13,,10,,,,12,69,7,123,,,,1858,,,7,,,,,8,,25,23,,,,151,,,6,
2017-12-21,1585,,467,,43,,89,6,366,,21,40,6,11,,,839,43,,58,99,31,,,45,194,,,,,36,8,,592,14,6,8,432,10,,,,126,17,194,,,40,,,509,13,,18,13,,10,,,,13,63,7,125,,,,1857,,,10,,,,,7,,24,21,,,,158,,,6,
2017-12-22,2885,,353,,43,,86,8,511,,20,43,9,15,,,685,44,,55,101,33,,,56,202,,,,,33,,,620,14,7,11,435,12,,,,126,17,203,,,40,,,441,15,,17,13,,13,,7,,11,69,7,130,,,,1851,,,9,,,8,,7,,24,22,,,,178,,,,
2017-12-23,3302,,160,,42,,83,9,727,,21,43,9,15,,,465,43,,54,102,33,,,61,209,,,,,33,,,626,14,7,13,436,12,,,,127,18,209,,,37,,,343,16,,15,14,,11,,8,,11,69,,130,,,,1856,,7,10,,,8,,,,25,24,,,,195,,,8,
2017-12-24,3313,,159,,42,,81,9,727,,20,40,9,15,,,465,43,,52,98,31,,,62,206,,,,,33,,,605,14,,13,437,12,,,,127,18,210,,,31,,,339,16,,14,15,,10,,8,,11,70,7,130,,,,1855,,7,9,,,10,,,,26,25,,,,200,,,8,
2017-12-25,3324,,159,,42,,86,9,728,,20,43,8,15,,,464,44,,53,95,32,,,67,193,,,,,32,,,611,15,7,14,438,13,,,,128,18,214,,,28,,,343,15,,16,13,,10,,8,,11,73,7,131,,,,1857,,,10,,,10,,,,26,25,,,,207,,,7,
2017-12-26,3365,,156,,29,,64,9,1746,,15,45,8,13,,,444,19,,38,72,30,,,71,166,,,,,29,,,531,13,7,9,438,13,8,,,7,,209,,,21,,,317,15,,14,10,,8,,8,,7,50,,21,,,,1589,,7,11,,,9,,,,19,14,,,,228,,,9,
